STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
839;Protein Total;PRO – 10300;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Hộp; 4 ; 1.500.000 ;"Thành phần:  
Sodium Hydroxide 600 mM
Cupric Sulfate 12 mM
Potassium Sodium Tartrate 32 mM
Potassium Iodide 30 mM
Tiêu chuẩn chất lượng: ISO 13485";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
840;Triglycerides;TRI – 10600;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Hộp; 5 ; 4.350.000 ;"Thành phần: 
ATP 0,1 mM
4-Aminophenazone 0,1 mM
p- chlorophenol 2,0 mM
GPO 3500 U/L
Lipoprotein Lipase 150000 U/L
GK 500 U/L
GOOD 50 mM
pH 6,3 ± 0,1
Tiêu chuẩn chất lượng: ISO 13485";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
841;Urea 2V;URE – 11500;"Số: 230000293/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Hộp; 16 ; 3.500.000 ;"Thành phần: 
Buffer
α-Ketoglutarate < 4.0 mM
Urease 7500 U/L
GLDH 1000 U/L
ADP > 2.0 mM
NADH 1,29 mM
Chất ổn định và chất tẩy rửa 
pH 7.4 ± 0.1
Tiêu chuẩn chất lượng: ISO 13485";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
842;Acid Uric;URI – 10600;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Hộp; 4 ; 3.750.000 ;"Thành phần: 
TOOS <1 mM
4-AAP <4 mM
Uricase 150 U/L
Peroxidase 12000 U/L
Chất ổn định và chất độn không phản ứng.
pH 7.6±0.2
Tiêu chuẩn chất lượng: ISO 13485";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
843;Base Washing Solution;BCS-101000;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Lọ; 2 ; 1.200.000 ;"Thành phần: 0.1 N NaOH
Chất hoạt động bề mặt < 0,01%
Tiêu chuẩn chất lượng: ISO 13485";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
844;CHEM-Calibrator;CALB – 3030;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Lọ; 6 ; 600.000 ;"Là huyết thanh đông khô của con người, Với hầu hết nồng độ thành phần và hoạt tính trong giới hạn bình thường.
Tiêu chuẩn chất lượng: ISO 13485
Thành phần:
Huyết thanh của con người. Phụ gia sinh học. 
Các chất kìm khuẩn";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
845;CHEM- Control N;CONN– 3030;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Lọ; 15 ; 600.000 ;"Là huyết thanh đông khô của con người, Với hầu hết nồng độ thành phần và hoạt tính trong giới hạn bình thường.
Thành phần:
Huyết thanh của con người. Phụ gia sinh học. 
Các chất kìm khuẩn";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
846;CHEM-Control A;CONA– 3030;"Số: 230000295/PCBB-HN;
ngày: 22/02/2023";2024 trở đi;Thổ Nhĩ Kỳ;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI;BILIMSEL TIBBI URUNLER PAZ. SAN. VE TIC LTD.STI - Thổ Nhĩ Kỳ;Lọ; 5 ; 600.000 ;"Là huyết thanh đông khô của con người, Với hầu hết nồng độ thành phần và hoạt tính trong phạm vi bất thường
Thành phần:
Huyết thanh của con người. Phụ gia sinh học. 
Các chất kìm khuẩn";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
847;Prothrombin Time (PT);41001;"Số: 8444NK/BYT-TB-CT; 
Ngày cấp: 24/03/2018";2024 trở đi;Hà Lan;Dutch Diagnostics B.V;Dutch Diagnostics B.V- Hà Lan;Hộp; 10 ; 4.200.000 ;Dùng trong xét nghiệm chỉ số PT. Thành phần chính: lọ chứa thromboplastin não thỏ, canxi clorua cho nồng độ cuối cùng là 0,0125 mol/L, và Natri Clorua để có nồng độ cuối cùng là 0,1 mol/L;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
848;aPTT Ellagic;41002;"Số: 8444NK/BYT-TB-CT; 
Ngày cấp: 24/03/2018";2024 trở đi;Hà Lan;Dutch Diagnostics B.V;Dutch Diagnostics B.V- Hà Lan;Hộp; 8 ; 4.200.000 ;Dùng trong xét nghiệm chỉ số aPTT. Thành phần chính: cephalin với axit ellagic. Chloride: 0.025 mol/L stable calcium chloride solution.;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
849;Fibrinogen;41004;"Số: 8444NK/BYT-TB-CT; 
Ngày cấp: 24/03/2018";2024 trở đi;Hà Lan;Dutch Diagnostics B.V;Dutch Diagnostics B.V- Hà Lan;Hộp; 2 ; 5.775.000 ;Dùng trong xét nghiệm chỉ số Fibrinogen. Thành phần bao gồm: Thrombin: lọ chứa thrombin đông khô. Một lần hoàn nguyên nồng độ xấp xỉ 100 NIH đơn vị thrombin / ml. Dung dịch đệm imidazole: 0,05 M, pH 7,3;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
850;Control Plasma Normal;41005;"Số: 8444NK/BYT-TB-CT; 
Ngày cấp: 24/03/2018";2024 trở đi;Hà Lan;Dutch Diagnostics B.V;Dutch Diagnostics B.V- Hà Lan;Hộp; 1 ; 3.450.000 ;Dung dịch QC mức bình thường cho máy xét nghiệm đông máu.;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
851;Control Plasma Pathologic;41006;"Số: 8444NK/BYT-TB-CT; 
Ngày cấp: 24/03/2018";2024 trở đi;Hà Lan;Dutch Diagnostics B.V;Dutch Diagnostics B.V- Hà Lan;Hộp; 1 ; 3.450.000 ;Dung dịch QC mức bệnh lý cho máy xét nghiệm đông máu.;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
852;Micro Cuvettes;40009;"Số: 240001506/PCBA-HN;
Ngày cấp: 25/07/2024;";2024 trở đi;Đức;LABiTec- Labor BioMedical Technologies GmbH;LABiTec- Labor BioMedical Technologies GmbH- Đức;Túi; 15 ; 4.000.000 ;Cóng nhựa trong suốt có sẵn thanh Mixer, bên trong có thẻ CuvCard tương thích máy đông máu bán tự động DCA-1, DCA-2, DCA-4;Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
853;HbA1c Rapid Quantitative Test;W207;"Số: 220003037/PCBB-HN; 
Ngày cấp: 16/09/2022";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 2.000 ; 68.500 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm dùng để đo định lượng Hemoglobin A1C trong mẫu máu toàn phần của người.
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 4%- 14.5%
- Ngưỡng phát hiện (LoD): 4%
- Mẫu Phẩm: Máu toàn phần
-Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm ở nồng độ xác định: bilirubin 0.2 mg/mL, triglycerides 10.0 mg/mL, hemoglobin 5.0 mg/mL.";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
854;T3 Rapid Quantitative Test;W231;"Số: 230001421/PCBB-HN; 
Ngày cấp: 27/06/2023";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 800 ; 60.000 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm dùng để xác định định lượng Triiodothyronine ( T3 toàn phần) với mục đích dùng để hỗ trợ đánh giá chức năng tuyến giáp.
- Phương pháp xét nghiệm:Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 0.61-9.22 nmol/L (0.4-0.6 ng/mL)
- Ngưỡng phát hiện:0.61 nmol/L
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
-Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm ở nồng độ được chỉ định: cholesterol 60mg/mL, bilirubin 2 mg/mL, triglycerides 40.0 mg/mL và hemoglobin 10.0
mg/mL.";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
855;CEA Rapid Quantitative Test; W226;"Số: 13528NK/BYT-TB-CT; Ngày cấp: 26/08/2019";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 200 ; 78.000 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm dùng để  định lượng kháng nguyên  carcino-embryonic với mục đích  để hỗ trợ đánh giá điều trị, chẩn đoán và theo dõi tái phát ung thư biểu mô.
- Phương pháp xét nghiệm:Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 1-500 ng/mL
- Ngưỡng phát hiện:1 ng/mL
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
856;cTnI Rapid Quantitative Test;W203;"Số: 13528NK/BYT-TB-CT; Ngày cấp: 26/08/2019";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 200 ; 73.500 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm dùng  để định lượng cardiac troponin I ( cTnl) với mục đích hỗ trợ chẩn đoán nhồi máu cơ tim cấp tính ( AMI)
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Phạm vi xét nghiệm : 0.1 -50 ng/mL
- Ngưỡng phát hiện: 0.1 ng/mL
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
- Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm ở nồng độ xác định: hemoglobin 10 mg/mL, bilirubin 0.2 mg/mL, triglycerides 10 mg/mL";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
857;AFP Rapid Quantitative Test; W208;"Số: 13528NK/BYT-TB-CT; Ngày cấp: 26/08/2019";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 300 ; 73.500 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm dùng  để định lượng Alpha-Fetoprotein (AFP) với mục đích hỗ trợ chẩn đoán và đánh giá hiệu quả điều trị ung thư biểu mô gan nguyên phát
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Dải phân tích: 5-400 ng/mL
- Ngưỡng phát hiện: 5 ng/mL
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
- Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm ở nồng độ xác định: Protein KN Carcinoembryonic ≤25.7 ng/mL, KN đặc hiệu Prostate ≤31.4 ng/mL, KN đặc hiệu Prostate ≤31.4 ng/mL, KN đặc hiệu Prostate ≤31.4 ng/mL...";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
858;ß-hCG Rapid Quantitative Test;W225;"Số: 230001188/PCBB-HN; 
Ngày cấp: 30/05/2023";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 300 ; 71.000 ;"- Đạt tiêu chuẩn ISO 13485:2016
-Xét nghiệm định lượng beta -human choric gonadotropin với mục đích hỗ trợ chẩn đoán phát hiện thai sớm.
- Phương pháp xét nghiệm:Miễn dịch huỳnh quang
- Phạm vi xét nghiệm:  2-200000 mIU/mL 
- Ngưỡng phát hiện: 2 mIU/mL
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
- Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm ở nồng độ xác định: FSH 1000 mIU/mL, LH 500 mIU/mL, TSH 1000 μIU/mL.";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
859;PSA Rapid Quantitative Test;W209;"Số: 13528NK/BYT-TB-CT; Ngày cấp: 26/08/2019";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 200 ; 73.500 ;"- Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm định lượng kháng nguyên tuyến tiền liệt (PSA) với mục đích hỗ trợ chẩn đoán ung thư tuyến tiền liệt
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
-Phạm vi xét nghiệm: 2.0-100.0 ng/mL
- Ngưỡng phát hiện: ≤2.0 ng/mL
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
- Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm PSA ở nồng độ xác định: Bilirubin ≤2 mg/dL, Triglyceride ≤5000 mg/dL, AFP ≤289 ng/mL, TPS ≤200 U/L...";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
860;T4 Rapid Quantitative Test; W232;"Số: 230001421/PCBB-HN; 
Ngày cấp: 27/06/2023";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 800 ; 63.000 ;"-Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm định lượng Thyroxine toàn phần ( T4) với mục đích hỗ trợ đánh giá chức năng tuyến giáp.
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 12.87- 300 nmol/L
- Ngưỡng phát hiện: 12.87 nmol/L
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
861;TSH Rapid Quantitative Test;W220;"Số: 230001421/PCBB-HN; 
Ngày cấp: 27/06/2023";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 800 ; 57.000 ;"-Đạt tiêu chuẩn ISO 13485:2016
- Xét nghiệm định lượng hormone kích thích tuyến giáp ( TSH )
- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 0.1 -100 mIU/L
- Ngưỡng phát hiện: 0.1 mIU/L
- Mẫu Phẩm: Máu toàn phần/ Huyết thanh/ Huyết tương
- Các chất sau đây không ảnh hưởng đến kết quả xét nghiệm TSH ở nồng độ xác định: FSH 200 mIU/mL, LH 200 mIU/mL, hCG 1000 mIU/mL, cholesterol 60 mg/mL,
bilirubin 2 mg/mL, triglycerides 40.0 mg/mL, hemoglobin 10.0 mg/mL";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
862;Progesterone Rapid Quantitative Test;W233;"Số: 230000305/PCBB-HN; Ngày cấp:  22/02/2023";2024 trở đi;Trung Quốc;Guangzhou Wondfo Biotech Co.,Ltd;Guangzhou Wondfo Biotech Co.,Ltd- Trung Quốc;Test; 100 ; 78.750 ;"-Đạt tiêu chuẩn ISO 13485:2016
- Là xét nghiệm định lượng progesterone với mục đích để hỗ trợ theo dõi rụng trứng và theo dõi hiệu quả của liệu pháp progesterone, giúp chẩn đoán sớm thai ngoài tử cung hoặc suy thai trong thai kỳ.
'- Phương pháp xét nghiệm: Miễn dịch huỳnh quang
- Phạm vi xét nghiệm: 1.5 -60 ng/mL
- Ngưỡng phát hiện: 1.5 ng/mL
- Mẫu Phẩm: Máu toàn phần/ huyết thanh/ huyết tương";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
863;M-30D Diluent;A12-000047---;"Số: 230000046/PCBA-HCM; Ngày: 11/01/2023";2024 trở đi;Trung Quốc;Mindray;Mindray- Trung Quốc;Thùng; 35 ; 2.349.900 ;"Thành phần:
Sodium Chloride: 3.0-5.5g/L
Sodium Sulfate Anhydrous: 7.5-11.5g/L
Buffering Agents: 1.0-3.0g/L
Anti-fungal and Anti-bacterial Agents: 0.8-2.5g/L";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
864;M-30CFL Lyse;A12-000084---;"Số: 220001155/PCBB-HN; Ngày: 14/04/2022";2024 trở đi;Trung Quốc;Mindray;Mindray- Trung Quốc;Lọ; 25 ; 1.999.935 ;"Thành phần:
Quarternary Ammonium Salts: <50g/L
Nonion Surfactant: <15g/L
Isopropanol: 0.1-1.5ml/L
Ethanol: <1.5ml/L";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
865;M-30R Rinse;A12-000043---;"Số: 200001700/PCBA-HN; Ngày: 01/10/2020";2024 trở đi;Trung Quốc;Mindray;Mindray- Trung Quốc;Thùng; 28 ; 1.799.910 ;"Thành phần:
Sodium Sulfate Anhydrous: 3.0-5.5g/L
Sodium Chloride: 7.5-11.5g/L
Anti-fungal and Anti-bacterial Agents: 1.0-3.0g/L
Polyoxyethylene Ester: 0.3-1.5g/L";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
866;M-30E E-Z Cleanser;A12-000045---;"Số: 200001700/PCBA-HN; Ngày: 01/10/2020";2024 trở đi;Trung Quốc;Mindray;Mindray- Trung Quốc;Lọ; 20 ; 1.299.900 ;"Thành phần:
Proteolytic Enzym: 3.0-10g/L
Surfactant: 0.3-1.5g/L
Sodium Chloride: 3.0-5.0g/L
Anti-fungal and Anti-bacterial Agents: 0.5-2.5g/L
Buffering Agents: 1.0-4.0g/L";Công ty TNHH Thiết bị y tế Bình Mai;0107713765;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
867;Reagent for Electrolyte Analyzer ABW-4;ABW-4;"Số: 240000130/PCBB-HN;
Ngày cấp: 18/01/2024";2024 trở đi;Trung Quốc;Caretium  Medical Instruments Co., Ltd;Caretium  Medical Instruments Co., Ltd- Trung Quốc;Hộp; 15 ; 8.925.000 ;"Thành phần: 
-	  A Solution (Potassium chloride 4.0mmol/L; Sodium chloride 100.0mmol/L; Sodium salt 140,0 mmol/L; Calcium chloride 1.0mmol/L; Water 99%);
-  B Solution (Potassium chloride 8.0mmol/L; Sodium chloride 70.0mmol/L; Sodium salt 110.0mmol/L; Calcium chloride 2.0mmol/L; Water 99%)";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
868;QC Solution (QC-4);QC-4;"Số: 240000131/PCBB-HN;
Ngày cấp: 18/01/2024";2024 trở đi;Trung Quốc;Caretium  Medical Instruments Co., Ltd;Caretium  Medical Instruments Co., Ltd- Trung Quốc;Lọ; 4 ; 1.200.000 ;"
Thành phần: 
+   Potassium chloride: 5,0 ±0,1 mmol/L
+   Sodium chloride: 105,0 ±2 mmol/L
+ Sodium Salt: 145,0 ±2 mmol/L
+   Calcium chloride: 1,3 ±0,1 mmol/L
+   Water: 99%
-   Đạt tiêu chuẩn ISO 13485";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
869;Daily Cleaning Solution;;"Số: 240000111/PCBA-HN;
Ngày cấp: 18/01/2024";2024 trở đi;Trung Quốc;Caretium  Medical Instruments Co., Ltd;Caretium  Medical Instruments Co., Ltd- Trung Quốc;Lọ; 6 ; 1.200.000 ;"Thành phần: 
-	  Sodium benzoate < 2%; Methylene blue < 1%; Water 97% 
-  Đạt tiêu chuẩn ISO 13485";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
870;Weekly Cleaning Solution;;"Số: 240000111/PCBA-HN;
Ngày cấp: 18/01/2024";2024 trở đi;Trung Quốc;Caretium  Medical Instruments Co., Ltd;Caretium  Medical Instruments Co., Ltd- Trung Quốc;Lọ; 2 ; 1.200.000 ;"Thành phần:
Sodium hypochlorite solution < 1%
Water 99%
-  Đạt tiêu chuẩn ISO 13485";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
871;Cuvette Máy xét nghiệm sinh hóa ;;;2024 trở đi;Ý;Edif Instruments;Edif Instruments- Ý;Cái; 500 ; 60.000 ;Sử dụng cho máy xét nghiệm sinh hóa;Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
872;Rapid Anti HIV Test ;ITP02006-TC40;"Số: QLSP-0563-12, Ngày cấp: 19/3/2018;";2024 trở đi;Trung Quốc;InTec Products, Inc;InTec Products, Inc - Trung Quốc;Test; 1.200 ; 18.000 ;"Phát hiện sự có mặt của các kháng thể kháng  HIV-1 và HIV-2 trong máu toàn phần, huyết thanh hoặc huyết tương người
Đạt tiêu chuẩn ISO13485:2016 
- Mẫu phẩm: Huyết thanh, huyết tương, máu toàn phần
- ﻿Độ nhạy: 99.59%, Độ đặc hiệu: 99.87%
-  Thành phần Kit thử: Cộng hợp vàng HIV-Ag tái tổ hợp. 
- Vạch kết quả Anti-human IgG-Fe Mcab. ";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
873;One Step HBsAg Test;ITP01003-TC40;"Số: QLSP-0621-13; Ngày cấp: 19/3/2018";2024 trở đi;Trung Quốc;InTec Products, Inc;InTec Products, Inc - Trung Quốc;Test; 2.600 ; 9.000 ;"Phát hiện kháng nguyên HBsAg trong huyết thanh, huyết tương, máu toàn phần của người
Đạt tiêu chuẩn ISO13485:2016 
- Mẫu phẩm huyết thanh, huyết tương, máu toàn phần
- Độ nhạy: 100%, Độ đặc hiệu: 99.88 %
- Thành phần Kit thử: Vùng cộng hợp IgG chuột kháng HBsAg-04 (0.16 μg)
- Vạch kết qủa IgG chuột kháng HBsAg-B20 (0.20 μg)
- Vạch chứng IgG dê kháng chuột (0.20 μg)
- Ngưỡng phát hiện 1ng/ml";Công ty TNHH Thiết bị y tế Phan Nguyễn;0107434539;Trung tâm Y tế huyện Bình Gia;Số 113/QĐ-TTYT, ngày 25 tháng 11 năm 2024 ;;;;;;;;;
