"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"341","2008/TB-HC","20/8/2025","Công Ty TNHH WOORI BIO Việt Nam - Địa điểm kinh doanh phòng tiêm chủng WOORI BIO","Tầng 2 Villa D04 khu đô thị Mỹ Đình - Mễ Trì, phường Từ Liêm, HN","Bùi Thị Bích Thảo","889396080.0","1","null","null","null"
"342","10/VNVC-HCNS","14/8/2025","VNVC Việt Hưng - Công ty cổ phần vắc xin Việt Nam","Căn hộ C4 lô BT4, ĐTM Việt Hưng, phường Việt Hưng, TP Hà Nội","Nguyễn Thị Thảo","028.7102.6595/0981465216","null","1","null","null"
"343","08/VNVC","14/8/2025","VNVC Đông Anh - Công ty cổ phần vắc xin Việt Nam","Thôn Đản Mỗ, xã Đông Anh, TP Hà Nội","Nguyễn Thị Như Quỳnh","028.7102.6595/0904.168.998","null","1","null","null"
"344","149/2025/TB-VNVC","15/8/2025","Địa điểm Kinh doanh VNVC Gia Lâm – Công ty cổ phần vắc xin Việt Nam – Chi nhánh Thành phố Hà Nội","Số 187 đường Ngô Xuân Quảng, xã Gia Lâm, TP Hà Nội","Lê Thị Ngọc Anh","028.7102.6595/0569677666","null","1","null","null"
"345","148/2025/TB-VNVC","15/8/2025","Địa điểm Kinh doanh VNVC THE WEST Cầu Giấy – Công ty cổ phần vắc xin Việt Nam – Chi nhánh Thành phố Hà Nội","số 265 đường Cầu Giấy, phường Cầu Giấy, TP Hà Nội","Đặng Hữu Bá","024.3882.4666/0904.354.933","null","1","null","null"
"346","171/2025/TB-VNVC","14/8/2025","VNVC PHỐ NHỔN – Công ty cổ phần vắc xin Việt Nam","Tầng 2, toà A, toà NTHome, số 109 phố Nhổn, Xuân Phương, TP Hà Nội","Nguyễn Thị Thoi","024.7102.6595/0965.354.287","null","1","null","null"
"347","203/2025/TB-VNVC","15/8/2025","VNVC CÁT LINH – Công ty cổ phần vắc xin Việt Nam","Tầng 2, toà nhà Thương Mại Dịch Vụ, số 214 phố Hào Nam, phường Ô Chợ Dừa, TP Hà Nội","Nguyễn Văn Quảng","024.3882.4666/0903163335","null","1","null","null"
"348","02/2025/SCH-CB","17/8/2025","Bệnh viện Mặt trời trực thuộc công ty cổ phần phát triển công nghệ y học Việt Nam - Nhật Bản","Lô ĐMKT 1, khu Ngoại Giao Đoàn, phố Dương Văn An, phường Xuân Đỉnh, TP Hà Nội","Nguyễn Quang Thắng","0904.011.515/024.3333.8888","null","1","null","null"
"349","402/TB-YHDP&YTCC","16/8/2025","Phòng tiêm chủng cơ sở 1 - Viện Đào tạo Y học dự phòng và Y tế công cộng, Trường Đại học Y Hà Nội","Số 01 Tôn Thất Tùng, phường Kim Liên, TP Hà Nội","Lê Thị Thanh Xuân","24.62597231","null","1","null","null"
"350","01/VINVAC","15/8/2025","Địa điểm kinh doanh - Trung tâm tiêm chủng vắc xin dịch vụ VINVAC -Công ty cổ phần vắc xin dịch vụ VINVAC","Gian hàng thương mại dịch vụ 01SH06, Toà S2.05 Khu đô thị Vinhomes Smart city Tây Mỗ, phường Tây Mỗ, TP Hà Nội","Nguyễn Tiến Dũng","934489899.0","null","1","null","null"
"351","02/2025/2025","21/8/2025","Trung tâm tiêm chủng Tokyo Vaccine Center - Công ty TNHH Wakasa Việt Nam","Lô T235, tầng 2, Trung tâm thương mại AEON MALL Hà Đông, phường Dương Nội, TP Hà Nội","Bùi Thị Oanh","0867 480 633","null","1","null","null"
"352","29/PKTC-ĐT","18/8/2025","Phòng khám đa khoa Thu Cúc- Chi nhánh Công ty Cổ phần Y khoa & Thẩm mỹ Thu Cúc","Tầng hầm 1 và tầng 1, hoà HH01, Ecolake view, số 32 Đại Từ, phường Định Công, Hà Nội","TS.BS. Nguyễn Đức Hoan","936328883.0","null","1","null","null"
"353","42/TB-BNTC","21/8/2025","Bệnh viện Đa khoa Quốc tế Thu Cúc – Chi nhánh công ty Cổ phần Y khoa & Thẩm mỹ Thu Cúc","Số 286,288,290,292,294 Thuỵ Khuê, phường Tây Hồ, Hà Nội","TS.BS. Nguyễn Phạm Ý Nhi","906228835.0","null","1","null","null"
"354","08/TB-VAAC","20/8/2025","Trung tâm tiêm chủng và tư vấn dinh dưỡng VAAC-Đông Anh trực thuộc Công ty cổ phần Vaccine ANCARE","Tầng 2 số nhà 27, đường Tây Cao Tốc, thôn Bầu, xã Thiên Lộc, TP Hà Nội","Trần Văn Nhất","912895221.0","null","1","null","null"
"355","42/TB-BVĐKSS","19/8/2025","Khoa sản - Bệnh viện đa khoa Sóc Sơn","Thôn Miếu Thờ, xã Sóc Sơn, TP Hà Nội","BSCKII Tạ Văn Sứng","243.5953784","null","1","null","null"
"356","08/CV","20/8/2025","Phòng tiêm chủng vắc xin trực thuộc công ty Cổ phần Thương mại dịch vụ Giang Nguyên","Đội 7, xã An Khánh, TP Hà Nội","Bùi Ánh Ngọc","987857117.0","null","1","null","null"
"357","02/TTTCIHVC","12/8/2025.","Trung tâm tiêm chủng I-HEALTH Vaccine","Số 98 Ba La, Tổ 9A, Phú Lương, Hà Nội","Lê Thị Chín","912201216.0","null","1","null","null"
"358","140/TB-VNIM","14/8/2025","Trung tâm tiêm chủng SmartCity cơ sở Thạch Thất trực thuộc Công ty cổ phần Y tế Quốc tế Việt Nga","Số nhà 19, Thôn 4, xã Tây Phương, TP Hà Nội","Phí Thị Phượng","327432885.0","null","1","null","null"
"359","04/TB-CTCP","19/8/2025.","Trung tâm tiêm chủng vắc xin Nam Từ Liêm - Cơ sở Tam Hiệp","Số nhà 18, Dốc nhà máy đường Tam Hiệp, xã Hát Môn, TP Hà Nội","Đỗ Thị Loan","985980268.0","null","1","null","null"
"360","05/TB-CTCP","19/8/2025.","Trung tâm tiêm chủng vắc xin Nam Từ Liêm","Số 86-88, Phố Nhổn, phường Tây Tựu, TP Hà Nội","Lương Hồng Nhị","0363.832.079","null","1","null","null"
"361","2192/TB-BVBĐ-KHTH","18/8/2025.","Bệnh viện Bưu điện","Số 49 Trần Điền, phường Phương Liệt, TP Hà Nội","Trần Hùng Mạnh","24.36402307","null","1","null","null"
"362","01/TB-TTTCVP","20/8/2025","Hộ kinh doanh trung tâm tiêm chủng Việt Pháp","số 203 Trần Đăng Ninh, xã Vân Đình, TP Hà Nội","Nguyễn Việt Hùng","0974.239.485","null","1","null","null"
"363","1250/TB-BVMĐ","19/8/2025","Bệnh viện đa khoa Mỹ Đức","số 89, đường Hà Xá, Thọ Sơn, xã Mỹ Đức, TP Hà Nội","Phạm Hữu Thường","966221616.0","null","1","null","null"
"364","01/MCNL","20/8/2025","TRUNG TÂM TIÊM CHỦNG SOSO MỄ TRÌ THUỘC CÔNG TY TNHH MINH CHÂU NGUYÊN LÂM","G10101, Gian hàng kinh doanh số 101, tầng 1, toà G1, Khu đô thị Vinhomes Green Bay, phường Đại Mỗ, TP Hà Nội","Đậu Thu Huyền","915119880.0","null","1","null","null"
"365","01/MCNL","20/8/2025.","TRUNG TÂM TIÊM CHỦNG SOSO GIA LÂM THUỘC CÔNG TY TNHH MINH CHÂU NGUYÊN LÂM","Biệt thự SB 23-289 KĐT Vinhomes Ocean Park, xã Gia Lâm, TP Hà Nội","Phạm Thị Ánh Nguyệt","915119880.0","null","1","null","null"
"366","137/2025/VBCB-VMSC","19/8/2025.","Bệnh viện Đa khoa Quốc tế Vinmec Smart City","Lô đất ký hiệu F2-CCTP3, Khu đô thị mới Tây Mỗ - Đại Mỗ - Vinhomes Park, đường Tây Mỗ, phường Tây Mỗ, TP Hà Nội","PGS.TS.BS. Hoàng Gia Du","2432085678.0","null","1","null","null"
"367","539/CV-BVĐHYD","22/8/2025","Bệnh viện Đại học Y Dược - Trường Đại học Y Dược","Phố Nguyễn Quý Đức, phường Thanh Xuân, TP Hà Nội","TS.BS. Bùi Ngọc Minh","2438546359.0","null","1","null","null"
"368","03-TB/SV-2025","15/8/2025","TRUNG TÂM TIÊM CHỦNG VẮC XIN DỊCH VỤ VIETCARE","Lô T56-57 khu đấu giá Tứ Hiệp, xã Thanh Trì, TP Hà Nội","Nguyễn Quang Nam","934489899.0","null","1","null","null"
"369","01/HA","22/8/2025","PHÒNG TIÊM CHỦN VẮC XIN DỊCH VỤ HÀ AN THUỘC CÔNG TY TNHH VẮC XIN DỊCH VỤ HÀ AN","Ô9, Lô 6, Đền Lừ 1, phường Tương Mai, TP Hà Nội","Bùi Thanh Hải","977555566.0","null","1","null","null"
"370","04/2025/TTTC","15/8/2025","Trung tâm tiêm chủng vắc xin Thái Bình Dương cơ sở 4 trực thuộc Công ty TNHH Công Nghệ và Dịch vụ Thái Bình Dương","số 216 phố Vác, xã Dân Hoà, TP Hà Nội","Nguyễn Trung Hiếu","0919.569.955","null","1","null","null"
"371","1612/BV-KHTH","2025-05-09 00:00:00","Bệnh viện đa khoa Thường Tín","số 115 đường Dương Trực Nguyên, xã Thường Tín, TP Hà Nội","Nguyễn Văn Cường","961613386.0","null","1","null","null"
"372","03/2025/SKVXM","15/08/2025","Trung tâm tiêm chủng Vihealth Chúc Sơn - Địa điểm kinh doanh công ty TNHH dịch vụ Sức Khỏe Việt Xuân Mai","Tổ dân phố Ninh Sơn, Phường Chương Mỹ, TP Hà Nội","Phùng Thị Huề","904665600.0","null","1","null","null"
"373","01/2025/SKVXM","15/08/2025","Trung tâm tiêm chủng Vihealth Xuân Mai - Trực thuộc công ty TNHH dịch vụ Sức Khỏe Việt Xuân Mai","Số 148 Tân Mai, xã Xuân Mai, TP Hà Nội","Nguyễn Thị Đông","949151818.0","null","1","null","null"
"374","04/2025/SKVXM","15/08/2025.","Trung tâm tiêm chủng Vihealth Thạch Thất - Trực thuộc công ty TNHH dịch vụ Sức Khỏe Việt Xuân Mai","Số 16 Đồng Cam, xã Thạch Thất, TP Hà Nội","Đào Thị Thuỷ","949151818.0","null","1","null","null"
"375","02/2025/SKVXM","15/08/2025","Trung tâm tiêm chủng Vihealt - Trực thuộc công ty TNHH dịch vụ Sức Khỏe Việt Xuân Mai","Thôn 7, xã Phú Cát, TP Hà Nội","Nguyễn Quang Toản","949151818.0","null","1","null","null"
"376","05/2025/SKVXM","15/08/2025","Trung tâm tiêm chủng Vihealth Thường Tín - Trực thuộc công ty TNHH dịch vụ Sức Khỏe Việt Xuân Mai","Số 128 Trần Phú, xã Thường Tín, TP Hà Nội","Trịnh Thị Thảo","949151818.0","null","1","null","null"
"377","001/TTTC103QO","14/8/2025","TRUNG TÂM TIÊM CHỦNG VẮC XIN 103 QUỐC OAI- CHI NHÁNH – PHÒNG KHÁM ĐA KHOA 103 QUỐC OAI – CÔNG TY TNHH THƯƠNG MẠI VÀ XÂY DỰNG HIỀN THƠ.","274-276 phố huyện,xã Quốc Oai, TP Hà Nội","Phạm Xuân Hiền","913369887.0","null","1","null","null"
"378","186/2025/TB-VNVC","28/08/2025","ĐỊA ĐIỂM KINH DOANH VNVC LÊ TRỌNG TẤN HÀ ĐÔNG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (""Trung tâm tiêm chủng VNVC Lê Trọng Tấn Hà Đông"")","C31 - BTSL2 ô số 09, C31 - BTSL2 ô số 10, Khu đô thị mới hai bên đường Lê Trọng Tấn, Phường Dương Nội, Thành phố Hà Nội, Việt Nam","Đỗ Thị Bích Hạnh","02422463595 0983230986","1","null","null","null"
"379","01/TB- PTCTX","28/8/2025","Phòng tiêm chủng Thanh Xuân","Thanh Nhàn, Nội Bài, Hà Nội","Tạ Thị Dung","979718623.0","1","null","null","null"
"380","Số 150/TB- TYT","11/9/2025.","Điểm Y tế Tân Xã thuộc Trạm Y tế xã Hạ Bằng","Thôn Mục Uyên 1, xã Hạ Bằng, TP Hà Nội","Cấn Hoàng Kim","945065068.0","1","null","null","null"
"381","1209/2025/ TB-JVHHN","12/9/2025.","PHÒNG KHÁM ĐA KHOA CÔNG NGHỆ CAO NURA TRỰC THUỘC CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT - CHI NHÁNH HN","Tầng 01, Khối đế tòa nhà Mipec Tower, Số 229 Tây Sơn, Phường Kim Liên, TP Hà Nội","Nguyễn Thùy Chinh","02432018296/ 0394800917","1","null","null","null"
"382","164/2025/TB-VNVC","13/8/2025.","VNVC CỔ NHUẾ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Lô số 33, khu nhà thấp tầng tt3, khu đô thị Thành phố Giao Lưu, số 232-234 Đường Phạm Văn Đồng, phường Phú Diễn, TP Hà Nội","024.668.92595 0359022909","Nguyễn Thị Huyền Trâm","null","1","null","null"
"383","164/2025/VNVC-HCNS","15/8/2025.","ĐỊA ĐIỂM KINH DOANH VNVC MINH KHAI - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Ô 1+2, tầng 2 Toà nhà Hàn Việt, Số 203 phố Minh Khai, phường Bạch Mai, TP Hà Nội","02871026595 0972087658","Phạm Thị Thư","null","1","null","null"
"384","201/2025/TB-VNVC","13/8/2025.","VNVC NGUYỄN THÁI HỌC - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Số 5 Lê Duẩn, phường Ba Đình, TP Hà Nội","02438824666 0903163335","Nguyễn Lê Nga","null","1","null","null"
"385","97 TB/SYT-BVQTDL","4/9/2025.","Bệnh viện Quốc tế Dolife","Số 108 đường Nguyễn Hoàng, phường Từ Liêm, TP Hà Nội","0913167722","Nguyễn Văn Mão","null","1","null","null"
"386","/CTCPDV VACCIN VIỆT ĐỨC","14/8/2025.","Địa điểm Kinh Doanh Tiêm Chủng Hoàng Gia Chợ Cá – Công Ty Cổ Phần Dịch Vụ Vacxin Việt Đức","QL21A, Thôn Nam Sơn, xã Xuân Mai, TP Hà Nội","0974.167.895","Vũ Xuân Tú","null","1","null","null"
"387","1569/TB-BVĐKĐG","12/8/2025.","Bệnh viện đa khoa Đức Giang","Số 54 phố Trường Lâm, phường Việt Hưng, TP Hà Nội","0243.8272075","Đỗ Minh Trí","null","1","null","null"
"388","02/2025/TTTC","15/8/2025.","Trung tâm tiêm chủng vắc xin Thái Bình Dương cơ sở 1 trực thuộc Công ty TNHH Công Nghệ và Dịch Vụ Thái Bình Dương","Thôn Phúc Lâm, xã Phúc Sơn, TP Hà Nội","0919569955","Nguyễn Trung Hiếu","null","1","null","null"
"389","353/TB-BVNTW","15/8/2025.","Khoa Dự phòng và Kiểm soát nhiễm khuẩn - Bệnh viện Nhi Trung ương","18/879 đường La Thành, phường Láng, TP Hà Nội","0987.669.578","TS.BS. Lê Kiến Ngãi","null","1","null","null"
"390","2372/TB-BVPTƯ","18/8/2025.","Bệnh viện Phổi Trung ương","Số 463 đường Hoàng Hoa Thám, phường Ngọc Hà, TP Hà Nội","0985789236","Nguyễn Thị Huyến","null","1","null","null"
"391","60/TB-TYT","18/8/2025.","Phòng tiêm chủng dịch vụ - Trạm Y tế xã Phú Xuyên","Tiểu khu Thao Chính, xã Phú Xuyên, TP Hà Nội","0964727766","Phạm Phú Đạo/ Trần Thị Hậu","null","1","null","null"
"392","01/FIVEVAC/TB","8/8/2025.","“Trung tâm tiêm chủng vaccine FiveVac 1” trực thuộc “Công ty cổ phần Vắc xin Trung ương 5”","Đội 5, thôn Ngọc Hồi, xã Ngọc Hồi, TP Hà Nội","0986436783","Lại Văn Thuận","null","1","null","null"
"393","122/TB-TYT","3/9/2025.","Điểm Y tế Bối Khê - Trạm Y tế xã Tam Hưng","Thôn Lê Dương, xã Tam Hưng, TP Hà Nội","0967.858.929","Dương Văn Huân Vương Thị Thuỷ","null","1","null","null"
"394","120/TB-TYT của Trạm Y tế xã Sơn Đồng","26/8/2025.","Điểm trạm Song Phương","Thôn 3, đường Nguyễn Viết Thứ, xã Sơn Đồng, TP Hà Nội","0906.035.999","Nguyễn Văn Chung","null","1","null","null"
"394","120/TB-TYT của Trạm Y tế xã Sơn Đồng","26/8/2025.","Điểm trạm Sơn Đồng 1","Thôn Rô, xã Sơn Đồng, TP Hà Nội","0989.384.858","Nguyễn Thị Hoà","null","1","null","null"
"394","120/TB-TYT của Trạm Y tế xã Sơn Đồng","26/8/2025.","Điểm trạm Tiền Yên","Thôn Tiền Lệ, xã Sơn Đồng, TP Hà Nội","0356.316.354","Nguyễn Thị Vân","null","1","null","null"
"394","120/TB-TYT của Trạm Y tế xã Sơn Đồng","26/8/2025.","Điểm trạm Lại Yên","Thôn 2, đường Cây Trà, xã Sơn Đồng, TP Hà Nội","0936.109.235","Vũ Tiến Hải","null","1","null","null"
"394","120/TB-TYT của Trạm Y tế xã Sơn Đồng","26/8/2025.","Điểm trạm Vân Canh","Thôn Kim Hoàng, xã Sơn Đồng, TP Hà Nội","0977.783.975","Vũ Thị Phước","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Làng Gióng","Thôn Phù Đồng 2, xã Phù Đổng, TP Hà Nội","0399614673","Nguyễn Thị Luyến","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Trung Mầu","Thôn 2 Trung Mầu, xã Phù Đổng, TP Hà Nội","0344551621","Lê Thị Yến","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Dương Hà","Số 135 đường Dương Hà, thôn Trung, xã Phù Đổng, TP Hà Nội","0906508818","Nguyễn Thị Thu Thuỷ","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Đình Xuyên","Số 53 đường Đình Xuyên, thôn Tế Xuyên 1, xã Phù Đổng, TP Hà Nội","0971398142","Nguyễn Mạnh Cường","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Ninh Hiệp","Thôn 9, xã Phù Đổng, TP Hà Nội","0972471682","Chu Bá Sỹ","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Yên Thường","Số 194 đường Yên Thường, xã Phù Đổng, TP Hà Nội","0974825172","Dương Thị Thu Trang","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Yên Viên 2","Thôn Lã Côi, xã Phù Đổng, TP Hà Nội","0977962711","Trần Xuân Đông","null","1","null","null"
"395","05/TB-TYT của Trạm Y tế xã Phù Đổng","26/8/2025.","Điểm Y tế Yên Viên 1","Số 2 ngõ 420 Hà Huy Tập, xã Phù Đổng, TP Hà Nội","0912440355","Nguyễn Văn Khâm","null","1","null","null"
"396","01/CLCTT","22/8/2025.","HỘ KINH DOANH PHÒNG TIÊM CHỦNG CHẤT LƯỢNG CAO THẠCH THẤT","Số 69 - Đường 84, xã Thạch Thất, TP Hà Nội","0971683866","Phí Thị Thu Hà","null","1","null","null"
"397","453/VMTC-TB","16/8/2025.","Phòng khám Đa khoa Quốc tế Vinmec Times City","Số 458 Minh Khai, phường Vĩnh Tuy, thành phố Hà Nội","024.3975.3556","Trần Khắc Điền","null","1","null","null"
"398","450/VMTC-TB","16/8/2025.","Bệnh viện Đa khoa Quốc tế Vinmec Times City","Số 458 Minh Khai, phường Vĩnh Tuy, thành phố Hà Nội","024.3975.3556","Nguyễn Ngọc Quang","null","1","null","null"
"399","165/TB-VNVC TC","14/8/2025.","VNVC TRƯỜNG CHINH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Trường Chinh”)","Số 180 đường Trường Chinh, phường Kim Liên, TP Hà Nội","02871026595","Phạm Đình Đông","null","1","null","null"
"400","200/CV-VNVC","13/8/2025.","VNVC THẠCH THẤT - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Thạch Thất”)","Số nhà 44, đường 420, thôn 84, xã Thạch Thất, TP Hà Nội","02871026595","Phạm Thị Hồng Hạnh","null","1","null","null"
"401","154/2025/TB-VNVC","15/8/2025.","VNVC NGHI TÀM - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC NGHI TÀM”)","Số 175 đường Nghi Tàm, phường Tây Hồ, TP Hà Nội","02871026595","Phạm Thị Hải Yến","null","1","null","null"
"402","224/2025/TB-VNVC","16/8/2025.","VNVC MỸ ĐÌNH 2 - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Tầng số 2, tháp R1 Toà nhà Florence, số 28 đường Trần Hữu Dục, phường Từ Liêm, TP Hà Nội","02871026595","Nguyễn Thu Hà","null","1","null","null"
"403","211/VNVC LÊ VĂN THIÊM","13/8/2025.","ĐỊA ĐIỂM KINH DOANH VNVC LÊ VĂN THIÊM - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Lê Văn Thiêm”)","Tòa Stellar Garden số 35 Lê Văn Thiêm, phường Thanh Xuân, TP Hà Nội","02466896595","Nguyễn Thị Xuân Thiều","null","1","null","null"
"404","205/VNVC ỨNG HOÀ","13/8/2025","ĐỊA ĐIỂM KINH DOANH VNVC ỨNG HOÀ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Ứng Hoà”)","Số 61 thôn Thanh Ấm, xã Vân Đình, TP Hà Nội","02466896595","Nguyễn Văn Khương","null","1","null","null"
"405","209/TB-VNVC","13/8/2025.","ĐỊA ĐIỂM KINH DOANH VNVC DƯƠNG NỘI - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Dương Nội”)","Tầng 1 – Toà nhà CT4 The Pride – KĐT mới An Hưng, phường Hà Đông, TP Hà Nội","02466896595","Đoàn Thúy Mai","null","1","null","null"
"406","193/VNVC","13/8/2025.","VNVC NGUYỄN TRÃI - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Nguyễn Trãi”)","Gian hàng số 101B, Tầng 1, Toà nhà N01B - Trung tâm thương mại, dịch vụ, Nhà ở Golden – Land Building, số 275 Nguyễn Trãi, phường Khương Đình, TP Hà Nội","02466896595","Nguyễn Thị Thanh Tâm","null","1","null","null"
"407","207/VNVC THƯỜNG TÍN","13/8/2025.","ĐỊA ĐIỂM KINH DOANH VNVC THƯỜNG TÍN - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Thường Tín”)","Số 112 Đường Trần Lư, xã Thường Tín, TP Hà Nội","02466896595","Nguyễn Thị Hiên","null","1","null","null"
"408","151/2025/TB-VNVC","15/8/2025.","VNVC LẠC LONG QUÂN 2 - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","tầng 3 toà nhà thương mại và dịch vụ văn phòng, số 89 đường Lạc Long Quân, phường Tây Hồ, TP Hà Nội","02871026595","Nguyễn Phú Cường","null","1","null","null"
"409","167/VNVC HÀ ĐÔNG","13/8/2025.","VNVC HÀ ĐÔNG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Hà Đông”)","Tầng 3, toà nhà Newskyline, Lô CC2, KĐT mới Văn Quán, Yên Phúc, Phường Hà Đông, TP Hà Nội","02433991555","Lưu Thị Thu","null","1","null","null"
"410","150/2025/TB-VNVC","15/8/2025.","ĐỊA ĐIỂM KINH DOANH VNVC ICON4 CẦU GIẤY - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC ICON4 Cầu Giấy”)","Tầng 1, tầng 2, tầng 3, Toà nhà ICON4, 243 Đê La Thành, phường Láng, TP Hà Nội","02438824666","Tống Thị Ngọc Cầm","null","1","null","null"
"411","143/2025/TB-VNVC","11/8/2025.","VNVC PHẠM VĂN ĐỒNG - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Số 134 Phạm Văn Đồng, phường Đông Ngạc, TP Hà Nội","02871026595","Lữ Lương Tâm","null","1","null","null"
"412","195/2025/CV-VNVC","13/8/2025","VNVC TAM TRINH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Tam Trinh”)","Số 156 đường Tam Trinh, phường Hoàng Mai, TP Hà Nội","02871026595","Hồ Thị Hương","null","1","null","null"
"413","198/CV-VNVC","13/8/2025","VNVC THANH TRÌ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM (“Trung tâm tiêm chủng VNVC Thanh Trì”)","Ô đất số 5 BT4 ĐTM Pháp Vân - Tứ Hiệp, số 6A phố Trần Thủ Độ, phường Yên Sở, TP Hà Nội","02871026595","Đinh Thị Ngọc Thủy","null","1","null","null"
"414","189/2025/CV-VNVC","13/8/2025","VNVC VĂN PHÚ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","DV32,33,34,35, Tầng 1, Chung cư kết hợp dịch vụ H-CT1 (tên thương mại: La Casta Tower), Khu đô thị mới Văn Phú, phường Kiến Hưng, TP Hà Nội","02871026595","Phùng Văn Thịnh","null","1","null","null"
"415","155/2025/TB-VNVC","15/8/2025","VNVC TRUNG KÍNH - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Tầng 2, toà nhà Chelsea Park, số 116 Trung Kính, phường Yên Hoà, TP Hà Nội","02871026595","Đặng Hương Giang","null","1","null","null"
"416","146/2025/TB-VNVC","1/8/2025.","VNVC LINH ĐÀM - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Số 8, dãy B, lô TT3, KĐT mới Tây Nam hồ Linh Đàm, phường Hoàng Liệt, TP Hà Nội","02871026595","Mai Thị Hương","null","1","null","null"
"417","182/2025/TB-VNVC","15/8/2025.","VNVC ĐAN PHƯỢNG- CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Tầng 3, TTTM Tuấn Quỳnh, phố Thuỵ Ứng, xã Đan Phượng, TP Hà Nội","024.7301.6595","Trần Thị Thanh","null","1","null","null"
"418","184/2025/TB-VNVC","15/8/2025","VNVC PHÚC THỌ - CÔNG TY CỔ PHẦN VACXIN VIỆT NAM","Số 124 Đường Lạc Trị, xã Phúc Thọ, TP Hà Nội","024.7301.6595","Trịnh Văn Tú","null","1","null","null"
"419","03/2025/TTTC","15/8/2025.","Trung tâm tiêm chủng vắc xin Thái Bình Dương cơ sở 2 trực thuộc Công ty TNHH Công Nghệ và Dịch Vụ Thái Bình Dương","Thôn Đừn, xã Quảng Bị, TP Hà Nội","0919569955","Nguyễn Trung Hiếu","null","1","null","null"
"420","32/TB-PKTC-TDH","18/8/2025.","Phòng Tiêm chủng – Phòng khám Đa khoa Quốc tế Thu Cúc","216 Trần Duy Hưng, phường Yên Hoà, TP Hà Nội","0902151998","Đặng Thị Kim Hạnh","null","1","null","null"
"421","24/CV-BVAT","18/8/2025.","Khoa Sản - Bệnh viện Phụ sản An Thịnh","Số 496 Bạch Mai, phường Bạch Mai, TP Hà Nội","02462504455","Nguyễn Thành Trung","null","1","null","null"
"422","/TB-TTTC HN","15/8/2025","TRUNG TÂM TIÊM CHỦNG VÀ TƯ VẤN DINH DƯỠNG HÀ NỘI – LONG BIÊN","số 27 TT02, phường Việt Hưng, TP Hà Nội","0983355491","Nguyễn Hà Thắng","null","1","null","null"
"423","/TB-TTTC HN","15/8/2025","TRUNG TÂM TIÊM CHỦNG VÀ TƯ VẤN DINH DƯỠNG HÀ NỘI","Số 24 X2 Đông Trù, xã Đông Anh, TP Hà Nội","0979111418","Nguyễn Phi Thường","null","1","null","null"
