SoTT;NamPhatHanh;So;DangTaiLieu;NgonNguTaiLieu;TenTaiLieu;TacGia;TenNguonTrich;DuLieuNguonTrich;DacTrungSoLuong;PhuChuTaiLieu;ISSNISBN;DeMuc;TuKhoa;TuKhoaPhu;TuKhoaChuaKiemSoat;TuKhoaDiaLy;TuKhoaSinhHoc;TomTatTiengViet;TomTatTiengAnh;KyHieuKhoa;NoiDung;NhanDeDichTAnh;NguonTrichLaKyYeu,TapChi;DiemTapChi;LinhVucKHCN;TuKhoaTAnh;TomTatTAnh
2086;2010;320;BB;Vie;Nhân việc phát hiện nguồn nước khoáng radon Thanh Thủy: thử tìm hiểu tác dụng chữa bệnh của nước khoáng radon;"Võ Công Nghiệp; Cao Thế Dũng; Lê Tứ Hải";Địa chất;;205-216;;0866-7381;70.99;"Nước khoáng radon; Cấu tạo địa chất; Phú Thọ";;;;;Trong bảng phân loại nước khoáng Việt Nam cho đến cuối thế kỷ XX còn có một khoảng trống, khiến các nhà địa chất thủy văn luôn băn khoăn, day dứt: đó là sự thiếu vắng loại nước khoáng radon. Điều đó không có nghĩa cấu tạo địa chất thiếu những tiền đề cho sự thành tạo loại nước khoáng này mà chính là do chưa được đầu tư nghiên cứu đầy đủ. May thay, trong năm 2001, qua công tác thăm dò, Liên hiệp Khoa học - Sản xuất địa chất nước khoáng thuộc Tổng hội Địa chất Việt Nam (dưới đây gọi tắt là Liên hiệp Nước khoáng) đã phát hiện được một nguồn nước khoáng radon tại huyện Thanh Thủy (Phú Thọ). Đây là tin vui cho giới khoa học về nước khoáng và y học thủy trị liệu nước ta. Nhân dịp này chúng ta thử tìm hiểu sơ bộ về nước khoáng radon và ý nghĩa khoa học cũng như thực tiễn của việc phát hiện mới này xét từ góc dộ địa chất y học.;;TTKHCNQG, CVv29;;;;;;;
2087;2010;320;BB;Vie;Đánh giá phân vùng nhạy cảm ô nhiễm môi trường nước huyện Nghi Xuân, Hà Tĩnh;"Nguyễn Văn Luyện; Đoàn Thị Ngọc Huyền; Nguyễn Thị Minh Ngọc; Quách Đức Tín";Địa chất;;217-226;;0866-7381;87.99;"Môi trường nước; Ô nhiễm môi trường; Đánh giá; Phân vùng; Hà Tĩnh";;;;;Trong nghiên cứu ô nhiễm môi trường, bên cạnh việc đánh giá chất lượng môi trường nước, phân vùng ô nhiễm môi trường giúp đánh giá hiện trạng ô nhiễm một cách trực quan, việc đánh giá và luận giải về nguy cơ ô nhiễm môi trường trong tương lai trên cơ sở phân vùng mức độ nhạy cảm ô nhiễm luôn là công việc có nhiều giá trị. Trên cơ sở các kết quả nghiên cứu đã công bố [6] tập thể tác giả đã tiến hành tổng hợp, đánh giá chất lượng môi trường nước và thành lập sơ đồ phân vùng nhạy cảm ô nhiễm môi trường khu vực huyện Nghi Xuân, Hà Tĩnh nhằm giúp cơ quan quản lý có chương trình hành động thích hợp để bảo vệ môi trường trong tương lai.;;TTKHCNQG, CVv29;;;;;;;
2088;2010;320;BB;Vie;Bùn đỏ bauxit Tây Nguyên: vật liệu xử lý ô nhiễm kim loại nặng trong nước thải;"Nguyễn Trung Minh; Nguyễn Đức Chuy; Cù Sỹ Thắng; Nguyễn Thị Thu; Nguyễn Kim Thưởng; Nguyễn Trung Kiên; Nguyễn Kim Thủy; Nguyễn Văn Thành; Huỳnh Minh Trí; Seong-Teak Yun";Địa chất;;227-235;;0866-7381;87.99;"Bùn đỏ; Chất thải rắn; Khai thác bô-xít; Ô nhiễm; Kim loại nặng; Nước thải";;;;;Bùn đỏ là chất thải rắn của quá trình khai thác bauxit và tinh chế alumina. Trên thế giới, đã có nhiều nghiên cứu xử lý bùn đỏ nhằm mục đích loại bỏ một phần hoặc tiêu hủy an toàn bùn đỏ và tận dụng thành phần có ích. Trong ài báo này, chúng tôi phát triển ý tưởng tận dụng thành phần có ích của bùn đỏ để tạo ra một loại vật liệu mới có khả năng hấp phụ cao, giá thành rẻ, phù hợp với điều kiện Việt Nam. Kết quả nghiên cứu ban đầu về sự hấp phụ của vật liệu chế tạo từ bùn đỏ Bảo Lộc, Lâm Đồng với các ion kim loại nặng Cu 2+, Pb 2+, Zn 2+, Ca 2+, Cr 2+ và các thông số hóa lý, hấp phụ đẳng nhiệt khác, đã chỉ ra khả năng rất lớn của việc sử dụng bùn đỏ để xử lý ô nhiễm nước thải trong điều kiện của nước ta.;;TTKHCNQG, CVv29;;;;;;;
2089;2010;320;BB;Vie;Thử nghiệm mô hính thực vật để xử lý nước rỉ từ rác;"Hoàng Thị Thanh Thủy; Từ Thị Cẩm Loan; Đào Phú Quốc; Nguyễn Thị Thanh Hòa; Trần Thị Hoàng Trâm";Địa chất;;236-240;;0866-7381;87.99;"Mô hình thực vật; Nước rỉ rác; Ô nhiễm môi trường; Xử lý";;;;;ở Việt Nam, nước rỉ từ các bãi rác chôn lấp là một loại nước thải có thành phân phức tạp, khó xử lý triệt để và sẽ dẫn đến nguy cơ ô nhiễm môi trường đất, nước dưới đất tại các bãi chôn lấp. Thực tế đã cho thấy việc xử lý nước rỉ rác bằng các phương pháp hóa - lý truyền thống tiêu tốn nhiều chi phí đầu tư, vận hành và quản lý. Chính vì vậy, phương pháp sử dụng thực vật đa là một hướng đo mới và ngày càng được quan tâm. Kết quả đã cho thấy, Phragmites australis và Acrostichum aureum là các thực vật rất có triển vọng trong xử lý nước rỉ rác nói chung và nước thải nói riêng.;;TTKHCNQG, CVv29;;;;;;;
2090;2010;320;BB;Vie;Động đất Bắc Yên và động đất Mai Sơn ngày 26 tháng 11 năm 2009;"Cao Đình Triều; Ngô Gia Thắng; Mai Xuân Bách; Phạm Nam Hưng; Bùi Anh Nam";Địa chất;;241-252;;0866-7381;37.99;"Động đất; Đặc điểm kiến tạo; Sơn La";;;;;"1. Đông đất Bắc Yên xảy ra vào hồi 11 giờ 47 phút 2 giây (giờ Hà Nội) ngày 26/11/2009, với vị trí chấn tâm: 21,29 B - 104,27 Đ; chấn cấp: 4,7 độ Richter, độ sâu chấn tiêu: 15 km. Đứt hãy Bắc Yên - Phù Yên, nới phát sinh động đất có độ sâu xuyên cắt tới 20 km về phía bắc một góc 70-80 độ so với mặt phẳng nằm ngang. 2. Đông đất Mai Sơn xảy ra vào hồi 20 giời 59 phút 01 giây (giờ Hà Nội) ngày 26/11/2009, với vị trí chấn tâm: 21,25 B - 104,25 Đ, chấn cấp: 4,2 độ Richter; độ câu chấn tiêu: 15 km. Đứt gãy Bản Hộc - Bản Chen, nơi phát sinh động đất có độ sâu xuyên cắt tới 15km; cắm về phía bắc một góc 50-70 độ so với mặt phẳng nằm ngang. 3. Sự tương phản lớn về hoạt động kiến tạo giữa các khối cấu trúc tân kiến tạo - hiện đại của miền Tây Bắc Bộ, đặc biệt giữa các khối có hoạt động nâng mạnh như Tú Lệ - Phan Si Pan, Tạ Khoa với các khối nâng yếu như sông Đà, trúng sụt lún kế thừa Mường bú - Pa Vinh bị biến dạng kiểu cắt trượt dọc các đới đứt gãy Pa Vinh và hoạt tính kiến tạo tích cực của các đới đứt gãy ranh giới giữa chúng, trong đó đáng chú ý là hoạt động của các hệ đứt gãy phương vĩ tuyến - á vĩ tuyến và Tây Bắc - Đông Nam. Sự giao cắt của hai hệ đứt gãy này dẫn đến các yếu tố sinh chấn rất cao. 4. Động đất có chấn cấp lớn nhất tương ứng với các nguồn phát sinh như sau: M6,8 độ richter tại đứt gãy Pa Vinh và Bắc Yên - Phù Yên; M6,6 - Bản Cua Mường - Bản Vàn; M6,5 - Bản Hộc; M6,3 - Bản Vàn Xay. Hai động đất vừa xảy ra vào tháng 11/2009 chưa phải là lớn nhất. Trong vùng đới đứt gãy vĩ tuyến Thuận Châu - Yên Châu, động đất mạnh 6,8 độ Richter có nguy cơ xảy ra.";;TTKHCNQG, CVv29;;;;;;;
2091;2010;320;BB;Vie;Độ nguy hiểm động đất khu vực Tây Bắc Bộ và các vùng kế cận;"Cao Đình Triều; Lê Văn Dũng; Thái Anh Tuấn";Địa chất;;253-262;;0866-7381;38.99;"Động đất; Tai biến; Tây Bắc Bộ";;;;;"Trong công trình này, các tác giả bước đầu đã ứng dụng phương pháp tất định mới để nghiên cứu tai biến động đất ở Tây Bắc Bộ và các vùng kế cận. Kết quả cho thấy: 1. Chấn cấp của động đất lớn nhất đã xảy ra có Mmax= 6,5-7,0 tại đới sông Mã và Sơn La - Sông Đà. Tại các đới còn lại có giá trị tương ứng là: Sồng Hồng (Mmax = 5,0-5,5); Mường Tè (Mmax = 5,5-6,0); Lai Châu - Điện Biên (Mmax = 5,5-6,0) và sông Cả (Mmax = 6,0-6,5). 2. Giá trị dịch chuyển nền (Dmax) lớn hơn 18 cm bao phủ các vùng thuộc tỉnh Sơn La, tại Ninh Bình và Hà Nam là 16 cm, và các vùng còn lại nằm trong khoảng từ 2 đến 16 cm. Vận tốc (Vmax) đạt giá trị cực đại lớn hơn 11,0 cm/s tại tỉnh Sơn La, còn vùng phía đông tỉnh Điện Biên, vùng trong tâm tỉnh Lai Châu và các tỉnh Ninh Bình, Hà Nam là 6,0-11,0 cm/s. 3. Toàn vộ diện tích các tỉnh Sơn La, Ninh Bình, Hà Nam và thành phố Vinh (Nghệ An) là nơi có độ nguy hiểm động đất lớn nhất Tây bắc Bộ và các vùng lân cận. Gia tốc (A), gia tốc dao động thiết kế tương ứng với các nền loại A, B và C đều đạt giá trị lớn nhất và tương ứng là: A  0,2 g; DGA cho nền loại A lớn hơn 0,3 g; DGA cho nền loại B có giá trị lớn hơn 0,2 g và DGA cho nền loại C lớn hơn 0,15 g.";;TTKHCNQG, CVv29;;;;;;;
2092;2010;320;BB;Vie;Nghiên cứu đặc điểm trường bức xạ tự nhiên phục vụ đánh giá ô nhiễm phóng xạ trêm các mỏ đất hiếm ở miền Bắc Việt Nam;"Nguyễn Văn Nam; Nguyễn Thái Sơn; Nguyễn Quang Vinh";Địa chất;;263-270;;0866-7381;38.99;"Bức xạ tự nhiên; Ô nhiễm phóng xạ; Đất hiếm; Việt Nam";;;;;Các mỏ đất hiếm ở miền Bắc Việt Nam đều đi kèm với các chất phóng xạ tự nhiên. Mức liều tương đương bức xạ trên các mỏ đất hiếm chủ yếu vượt giới hạn an toàn cho phép ở mức 2, ứng với 2 nhóm đối tượng bị chiếu xạ là nhóm C và B (nhóm dân chúng và nhóm những người lân cận). Nhóm A (những người làm việc trực tiếp) chỉ xảy ra ô nhiễm với quy mô rất nhỏ, trên các thân quặng đất hiếm lộ trực tiếp trên mặt đất. Bài viết này trình bày đặc điểm các thành phần môi trường phóng xạ tự nhiên trên các mỏ đất hiếm ở miền Bắc Việt Nam, phục vụ quy hoạch và phát triển bền vững nền kinh tế - xã hội ở địa phương.;;TTKHCNQG, CVv29;;;;;;;
2093;2010;320;BB;Vie;Một số kết quả nghiên tai biến địa chất nhóm tờ Lạng Sơn;Hoàng Bá Quyết;Địa chất;;271-282;;0866-7381;38.99;"Tai biến địa chất; Bản đồ địa chất; Lạng Sơn";;;;;Công tác nghiên cứu tai biến địa chất vùng Lạng Sơn đã được kết hợp với việc đo vẽ bản đồ địa chất và điều tra khoáng sản nhóm tờ Lạng Sơn tỷ lệ 1:50.000, được tiến hành chủ yếu ở các vùng: dọc theo trục Quốc lộ 4A, 4B, các trục đường liên huyện và dọc theo hai bên bờ sông Kỳ Cùng, các cụm dân cư sống quang trục đường liên xã, liên bản thuộc các xã trong các huyện của hai tỉnh Lạng Sơn và Cao Bằng. Kết quả đã ghi nhận được các dạng tai biến địa chất: động đất, trượt lở đất đá, đá đổ đá lăn, nứt đất, xói mòn rửa trôi bề mặt và xẻ rãnh, xỏi lở bờ sông suối, lũ ống, lũ quét và ngập lụt, sụt lún karst và tai biến liên quan đến hoạt động của con người. Các dạng tai biến này vẫn đang xảy ra và có phần diễn biến ngày càng phức tạp. Trên cơ sở kết quả khảo sát, đã dự báo và khoanh định được một số vùng có nguy cơ xảy ra tai biến địa chất, đồng thời đề xuất các biện pháp phòng tránh giảm thiểu thiệt hại do chúng gây ra.;;TTKHCNQG, CVv29;;;;;;;
2094;2010;320;BB;Vie;Đổ đá và nguy cơ đổ đá trên các tuyến đường giao thông miền núi tỉnh Quảng Bình: thực trạng, nguyên nhân và biện pháp phòng tránh;"Nguyễn Đức Lý; Nguyễn Thanh";Địa chất;;283-289;;0866-7381;38.99;"Đổ đá; Nguy cơ đổ đá; Giao thông; Miền núi; Quảng Bình";;;;;Đổ đá và nguy cơ đổ đá trên các tuyến đường giao thông miền núi tỉnh Quảng Bình hiện đang là nguy cơ đe dọa tất cả các đối tượng tham gia giao thông gây ảnh hưởng đến coogn trình, kinh tế - xã hội, môi trường và dân sinh. Bài báo này giới thiệu kết quả nghiên cứu về hiện trạng đổ đá và nguy cơ đổ đá trên các tuyến đường giao thông miền núi tỉnh Quảng Bình và đề xuất các biện pháp phòng tránh phù hợp.;;TTKHCNQG, CVv29;;;;;;;
2095;2010;320;BB;Vie;ứng dụng hiệu quả các phương pháp địa vật lý khảo sát và đánh giá triển vọng đá vôi dưới lớp phủ ở miền Đông Nam Bộ;Phùng Thế Lễ;Địa chất;;290-297;;0866-7381;38.99;"Đá vôi; Phương pháp địa vật lý; Lớp phủ; Đông Nam Bộ";;;;;Sử dụng các phương pháp địa vật lý để khảo sát, đánh giá triển vọng các dải đá vôi nằm ẩn sâu dưới lớp phủ luôn mang lại kết quả mong muốn, đạt hiệu quả kinh tế kỹ thuật cao. ở miền Đông Nam Bộ, trong những năm gần đây bằng việc kết hợp ứng dụng các phương pháp địa vật lý truyền thống và hiện đại, công tác địa vật lý đóng vai trò chủ đạo trong việc xác định các vùng có triển vọng làm cơ sở xây dựng đề án thăm dò các mỏ đá vôi cung cấp nguyên liệu cho các nhà máy xi măng FiCO Tây Ninh, Hà Tiên, An Phú, Minh Tâm trên các tỉnh Bình Phước và Tây Ninh, Kết quả khảo sát địa vật lý đã xác định chính xác diện phân bố, độ sâu phát triển, góc nghiêng mặt ranh giới với đá vây quanh, chiều dày lớp phủ, các đới phá hủy kiến tạo, hang kasrt, các lớp kẹp trầm tích, dolomit hóa trong đá vôi..., góp phần quan trọng hàng đầu trong việc đánh giá triển vọng và xác định cấu trúc ở giai đoạn khảo sát các vùng nguyên liệu đá vôi công nghiệp này.;;TTKHCNQG, CVv29;;;;;;;
2096;2010;320;BB;Vie;Nghiên cứu sơ đồ và quy trình thành lập tập tin đầu vào từ số liệu đo sâu điện 1-D để phân tích xử lý bằng phương pháp 2-D và một số kết quả áp dụng xác định ranh giới mặn nước dưới đất vùng Đồng bằng Nam Bộ;Bùi Tiến Bình;Địa chất;;298-311;;0866-7381;70.99;"Ranh giới nước mặn; Nước đưới đất; Đo sâu điện; Phương pháp 2-D";;;;;Sử dụng công nghệ đo ghi và xử lý hai chiều đối với tài liệu đo sâu điện cho phép đặt vấn đề nghiên cứu khả năng sử dụng phương pháp xử lý đối với tài liệu đo sâu điện một chiều truyền thống. Trên cơ sở phân tích lý thuyết và thuật toán giải lặp trong các chương trình xử lý hai chiều, bài báo trình bày nội dung nghiên cứu phương pháp xử lý hai chiều và từ đó đưa ra sơ đồ và quy trình thành lập tập tin đầu vào từ dữ liệu đo sâu điện một chiều truyền thống để đưa vào xử lý trong chương trình xử lý hai chiều với mục đích xây dựng các mô hình địa điện theo các tuyến liên kết các điểm đo sâu điện. Một số mô hình địa điện được sử dụng đã minh họa kết quả xác định ranh giới mặn các tầng chứa nước ở vùng đồng bằng Nam Bộ, cũng như một số triển vọng ứng dụng quy trình xử lý mới để khai thác nhanh chóng và có hiệu quả nguồn tài liệu đo sâu điện hiện có ở các vùng nghiên cứu khác nhau, đặc biệt là đồng bằng Nam Bộ, nơi hiện lưu giữ hàng chục ngàn điểm đo sâu điện.;;TTKHCNQG, CVv29;;;;;;;
2097;2010;320;BB;Vie;Sử dụng phương pháp cụ thể để mô hình hóa thân đá vôi phục vụ tính tài nguyên khoáng sản: ví dụ cho mỏ đá vôi xi măng Thanh Nghị, tỉnh Hà Nam;"Lê Văn Lượng; Đỗ Văn Định";Địa chất;;312-325;;0866-7381;38.99;"Đá vôi; Tài nguyên; Khoáng sản; Hà Nam";;;;;Mô hình hóa thân quặng nói chung và thân đá vôi nói riêng để tính trữ lượng đã và đang được áp dụng cho các mỏ đá vôi xi măng tại Việt Nam. áp dụng phương pháp mô hình cụ thể để tính trữ lượng cho đá vôi đã mang lại hiệu quả cao. Phương pháp mô hình hóa sử dụng kết quả của quá trình thăm dò mỏ theo các tuyến thăm dò có thể xây dựng lên mô hình thân đá voi tương đồng với thân đá vôi thực tế. Từ mô hình này ta tiến hành nội ngoại suy hàm lượng, tính toán trữ lượng, thiết kế khai thác mỏ.;;TTKHCNQG, CVv29;;;;;;;
2098;2010;320;BB;Vie;Hiệu quả sử dụng trạm đo địa chấn nông phân giải cao để khảo sát vùng biển nước nông;"Nguyễn Đình Nguyên; Phạm Nguyễn Hà Vũ; Phan Thanh Tùng";Địa chất;;326-335;;0866-7381;38.99;"Đo địa chấn; Trạm đo; Biển nước nông; Hiệu quả sử dụng";;;;;Phương pháp địa chấn nông phân giải cao thường được sử dụng để nghiên cứu cấu trúc địa chất tầng nông ở vùng biển có độ sâu đến vài trăm mét. Đối tượng nghiên cứu của địa chất tầng nông chủ yếu là các thành tạo địa chất nằm ở phần trên cùng của mặt cắt địa chất, nằm ở độ sâu khoảng một vài trăm mét trở lại dưới đáy biển để phục vụ tìm kiếm khoáng sản, địa chất công trình... Hệ thống địa chấn nông phân giải cao phát sóng và ghi liên tục sóng phản xạ dải tần số cao khoảng từ vài trăm đến nghìn Hz, đạt độ phân giải ngang 3-5m và độ phân giải đứng 0,5-1m.;;TTKHCNQG, CVv29;;;;;;;
2099;2010;320;BB;Vie;Tổng hợp các phương pháp phân tích định lượng xác định hàm lượng các nguyên tố, đánh giá độ tin cậy và so sánh việc sử dụng các phương pháp phân tích hiện đại tại các liên đoàn địa chất với việc sử dụng các phương pháp tương tự trên thế giới;"Nguyễn Văn Định; Dương ái Phương";Địa chất;;336-347;;0866-7381;38.99;"Phương pháp phân tích định lượng; Phương pháp phân tích hiện đại; Liên đoàn địa chất; Đánh giá độ tin cậy";;;;;Giới thiệu các phương pháp được sử dụng trong phân tích địa chất để định lượng các nguyên tố. Hai thông số là lặp lại và độ chính xác được tính toán theo số liệu phân tích thực nghiệm tại Trung tâm Phân tích Thí nghiệm thuộc Liên đoàn Bản đồ Địa chất miền Nam để so sánh chất lượng của các phương pháp dụng cụ. Một số thống kê về xu hướng chọn phương pháp phân tích của các phòng thí nghiệm trên thế giới cũng đc đề cập. Từ đó khẳng định, việc cập nhật các phương pháp phân tích và dụng cụ hiện đại trong ngành Địa chất là cần thiết và phù hợp với cách làm hiện nay trên thế giới.;;TTKHCNQG, CVv29;;;;;;;
2100;2010;320;BB;Vie;Một số nhìn nhận mới về tiềm năng sa khoáng tintan-zircon trong tầng cát đỏ vùng Ninh Thuận, Bình Thuận và Bắc Bà Rịa - Vũng Tàu;Trần Văn Thảo;Địa chất;;348-354;;0866-7381;38.99;"Sa khoáng; Titan-zircon; Ninh Thuận; Bình Thuận; Bà Rịa - Vũng Tàu";;;;;"Kết quả thi công Đề án ""Điều tra, đánh giá tiềm năng sa khoáng titan-zircon trong tầng cát đỏ vùng Ninh Thuận, Bình Thuận và Bắc Bà Rịa - Vũng Tàu đã giúp xác định diện phân bố của tầng cát đỏ vùng ven biển nói trên gần 940 km2, chiều dày từ 8,0 đến hơn 190,0 m. Khoáng vật quặng sa khoáng phân bố trong tầng cát đỏ tương đối đồng đều theo chiều sâu. Qua kết quả thi công đề án, đã sơ bộ dự tính được tài nguyên đạt gần 500 triệu tấn sa khoáng titan - zircon. Dựa trên lượng tài nguyên này cùng với tài nguyên hơn 50 triệu tấn được đánh giá trước đây đưa đến một cách nhìn mới: nước ta là một trong số ít nước có tiềm năng sa khoáng titan - zircon vào nhóm hàng đầu thế giới. Nguồn tài nguyên này sẽ đảm bảo cho việc hình thành và phát triển lâu dài ngành công nghiệp hiện đại về khai thác và chế biến titan - zircon ở nước ta.";;TTKHCNQG, CVv29;;;;;;;
2101;2010;320;BB;Vie;Tiềm năng bauxit và sắt laterit trong vỏ phong hóa bazan miền Nam Việt Nam;"Dương Ngọc Tình; Nguyễn Mạnh Hải; Nguyễn Hữu Phúc; Phạm Văn Thông; Nguyễn Văn Thuấn";Địa chất;;355-366;;0866-7381;38.99;"Bô-xít; Sắt; Vỏ phong hóa bazan; Việt Nam";;;;;Các đá phun trào mafic có tuổi Pliocen - Pleistocen sớm (N2-Q1) phân bố rộng rãi ở miền Nam Việt Nam, với tổng diện tích khoảng 18.500 km2. Trên các đá bazan này phát triển lớp vỏ phong hóa dày, quy mô phân bố rất rộng lớn. Trong đới nỏ phong hóa này đã phát hiện và đánh giá quặng bauxit có trữ lượng rất lớn, chất lượng tốt đến trung bình, có giá trị công nghiệp. Theo những nhìn nhận mới gần đây thì vỏ phong hóa này cũng có tiềm năng rất lớn về quặng sắt laterit, có thể sử dụng làm nguyên liệu phục vụ luyện kim.;;TTKHCNQG, CVv29;;;;;;;
2102;2010;320;BB;Vie;Đặc điểm quặng hóa chì - kẽm vùng Bản Vai - Bản Dó, Bảo Lâm, Cao Bằng;"Đồng Văn Giáp; Hoàng Quang Chỉ; Trần Văn Bạn; Nguyễn Văn Nguyên; Nguyễn Khắc Hiền; Bùi Viết Sáng";Địa chất;;367-374;;0866-7381;38.49;"Quặng hóa; Cấu trúc địa chất; Chì-kẽm; Cao Bằng";;;;;"Vùng phát triển quặng hóa nằm ở phụ đới Khao Lộc thuộc đới sông Lô, miền chuẩn uốn nếp Đông Bắc Bộ. Chúng được cấu tạo với các trầm tích lục nguyên xem các trầm tích carbonat bị biến chất. Các thành tạo địa chất trong vùng đã được các nhà địa chất trước đây xếp vào các tuổi rất khác nhau. Trong quá trình đo vẽ địa chất và tìm kiếm khoáng sản tỷ lệ 1:50.000 nhóm tờ Bảo Lạc, các nhà địa chất thuộc Liên đoàn Intergeo đã phát hiện được ở vùng này nhiều khu chứa quặng khác nhau: Bản Vai, Bản Ran, Bản Bó... và đã đánh giá được các thân quặng ở khu Bản Dó đạt trữ lượng lớn hơn 200 ngàn tấn chì-kẽm. Quặng hóa trong vùng có thành phần khoáng vật chủ yếu là pyrit, sphlerit, marcasit, arsenopyrit, pyrrontin, chalcopyrit, baryt; khoáng vật phi quặng chủ yếu là calcit, thạch anh, dolomit, thứ sinh có smithsonit, calamin, anglesit, cerussit, limonit, goethit. Quặng hóa chì - kẽm Bản Vai - Bản Ran - Bản Bó có nguồn gốc nhiệt dịch nhiệt độ từ thấp đến trung bình.";;TTKHCNQG, CVv29;;;;;;;
2103;2010;320;BB;Vie;Đặc điểm quặng hóa chì - kẽm trong các thành tạo trầm tích - phun trào mesozoi miền Đông Bắc Bộ;Đào Thái Bắc;Địa chất;;375-381;;0866-7381;38.29.21;"Quặng hóa; Chì-kẽm; Thành tạo trầm tích; Mesozoi; Đông Bắc Bộ";;;;;Đông Bắc Bộ là khu vực có rất nhiều các mỏ đa kim chì - kẽm, trong đó phần lớn đều phân bố trong các trầm tích Paleozoi và tập trung ở trung tâm vùng. Tuy nhiên, có một số rất nhỏ các mỏ và điểm quặng Pb-Zn phân bố trong các thành tạo trầm tích - phun trào Mesozoi ở phần ven rìa phía đông của vùng. Các điểm quặng này phần lớn được phát hiện qua công tác đo vẽ lập bản đồ địa chất với mức độ điều tra hết sức sơ lược, ít được đầu tư nghiên cứu, vì vậy chưa đánh giá được về tiềm năng chứa quặng của các thành tạo này. Trên cơ sở tổng hợp các tài liệu đã có, bài báo nêu lên những đặc điểm quặng hóa chì -kẽm trong các thành tạo trầm tích - phun trào tuổi MZ, qua đó đánh giá vai trò sinh khoáng của chúng. Kết quả nghiên cứu cho thấy các mỏ, điểm quặng ở đây đầu thuộc loại mỏ hậu sinh, thuộc kiểu mỏ dạng mạch và bao gồm 2 kiểu quặng chính: kiểu quặng Pb-Zn trong trầm tích lục nguyên - phun trào và kiểu quặng Pb-Zn-Ba trong trầm tích á lục địa. Các thành tạo trầm tích - phun trào MZ đóng vai trò quan vây quanh quặng và triển vọng chứa quặng chì - kẽm của chúng là không lớn.;;TTKHCNQG, CVv29;;;;;;;
2104;2010;320;BB;Vie;Một số kết quả điều tra mới về quặng mangan khu vực Lô-Gâm (Tuyên Quang - Hà Giang);"Trần Văn Quý; Nguyễn Đình Mộc";Địa chất;;382-388;;0866-7381;38.49;"Quặng mangan; Điều tra; Sông Lô; Sông Gâm; Tuyên Quang; Hà Giang";;;;;ở khu vực Lô-Gâm (Tuyên Quang - Hà Giang) đã phát hiện được khá nhiều loại khoáng sản kim loại có giá trị, trong đó có các vùng mỏ mangan Làng Bài, Tuyên Quang và Đồng Tâm, Hà Giang có tài nguyên tương đối lớn. Công tác điều tra, đánh giá đang được Liên đoàn Địa chất Đông bắc thực hiện ở vùng Đồng Tâm. Các kết quả thăm dò và khai thác quặng mangan ở vùng Làng Bài đã bổ sung thêm nhiều tài liệu về quá trình thành tạo và đặc điểm phân bố quặng mangan trong khu vực. Quặng mangan có nguồn gốc trầm tích, phân bố trong tập đá phiến thạch anh và quarzit, có hàm lượng nghèo. Quặng mangan nguồn gốc phong hóa - thấm đọng phân bố bên trân các tầng đá chứa quặng gốc có hàm lượng giàu hơn. Quặng mangan tạn nên 2 đới quặng kéo dài theo phương Đông Bắc -Tây Nam (Đồng Tâm) và Tây Bắc - Đông Nam (Làng Bài).;;TTKHCNQG, CVv29;;;;;;;
2105;2010;320;BB;Vie;Một số kết quả điều tra mới về titan ở miền Đông Bắc Bộ;Phạm Thế Nhữ;Địa chất;;389-396;;0866-7381;38.49;"Titan; Điều tra; Quặng; Đông Bắc Bộ";;;;;"Đông Bắc Bộ là khu vực duy nhất trên đất liền Việt Nam có tiềm năng về quặng titan sa khoáng và gốc, phân bố khá tập trung và rất gần các trung tâm kinh tế công nghiệp lớn, có điều kiện cơ sở hạ tầng, giao thông và điều kiện khai thác thuận lợi. Quặng titan tại đây liên quan chặt chẽ với các khối gabbroid phức hệ Núi Chúa, tập trung tại các tỉnh Thái Nguyên, Tuyên Quang và Bắc Cạn. Trên cơ sở kết quả thi công đề án ""Điều tra, đánh giá triển vọng quặng titan vùng Núi Chúa thuộc các huyện Đại Từ và Phú Lương, tỉnh Thái Nguyên"", kết quả khảo sát trong quá trình lập đề án ""Điaàu tra, đánh giá triển vọng quặng titan vùng Đồng Danh, Tuyên Quang và Khau Quế, Bắc Cạn"" và kết quả nghiên cứu của các giai đoạn trước đây, có thể khái quát nhận định về triển vọng và tiềm năng quặng titan phân bố trên đất liền tại miền Đông Bắc Bộ.";;TTKHCNQG, CVv29;;;;;;;
2106;2010;320;BB;Vie;Đặc điểm quặng vàng gốc trong cấu trúc Mẫu Sơn, tỉnh Lạng Sơn;"Bùi Đăng Thống; Trần Quang Phương; Bùi Chí Tiến; Phạm Đình Trưởng";Địa chất;;397-404;;0866-7381;38.49;"Quặng vàng; Địa chất; Mẫu Sơn; Lạng Sơn";;;;;Kết quả đo vẽ địa chất và điều tra khoáng sản tỷ lệ 1/50.000 nhóm tờ Lạng Sơn đã giúp phát hiện quặng vàng gốc ở cấu trúc Mẫu Sơn, tỉnh Lạng Sơn. Vàng ở đây có các kiểu khoáng: thạch anh-sulfur-vàng, thạch anh - vàng và mũ sắt chứa vàng. Trong các kiểu này, kiểu đầu tiên có giá tị hơn cả. Các điểm quặng vàng gốc gặp tập trung chủ yếu trong các hệ tầng Nà Khuất và Mẫu Sơn. Trong số 15 điểm mới phát hiện có 2 điểm rất có triển vọng.;;TTKHCNQG, CVv29;;;;;;;
