_id,So TT,"Ten hang hoa, dich vu",Gia kham chua benh theo yeu cau (DVT: dong)
1153,1153,Hydrocorticosteroid định lượng,62500
1154,1154,Marijuana định tính,70600
1155,1155,Micro Albumin,70600
1156,1156,Oestrogen toàn phần định lượng,52500
1157,1157,Opiate định tính,70600
1158,1158,Phospho niệu,33300
1159,1159,Porphyrin định tính,78800
1160,1160,Protein Bence - Jone,35300
1161,1161,Protein niệu hoặc đường niệu định lượng,22100
1162,1162,Tế bào cặn nước tiểu hoặc cặn Adis,70600
1163,1163,Tế bào/trụ hay các tinh thể khác  định tính,4000
1164,1164,Tổng phân tích nước tiểu,48700
1165,1165,Tỷ trọng trong nước tiểu/ pH định tính,7100
1166,1166,Ure hoặc Axit Uric hoặc Creatinin niệu,32300
1167,1167,Xentonic/ sắc tố mật/ muối mật/ urobilinogen,10100
1168,1168,Amilase/ Trypsin/ Mucinase định tính,15100
1169,1169,Bilirubin định tính,10100
1170,1170,"Canxi, Phospho định tính",10100
1171,1171,"Urobilin, Urobilinogen: Định tính",10100
1172,1172,Clo  dịch,36300
1173,1173,Glucose dịch,28100
1174,1174,Phản ứng Pandy,13100
1175,1175,Protein dịch,17200
1176,1176,Rivalta,25100
1177,1177,"Xét nghiệm tế bào trong nước dịch chẩn đoán tế bào học (não tuỷ, màng tim, màng phổi, màng bụng, dịch khớp, rửa phế quản…)",90800
1178,1178,"Xét nghiệm tế bào trong nước dịch chẩn đoán tế bào học (não tuỷ, màng tim, màng phổi, màng bụng, dịch khớp, rửa phế quản…) có đếm số lượng tế bào",149300
1179,1179,AFB trực tiếp nhuộm huỳnh quang,114200
1180,1180,Anti HAV-IgM bằng miễn dịch bán tự động/tự động,187000
1181,1181,Anti HAV-total bằng miễn dịch bán tự động/tự động,177000
1182,1182,Anti-HBc IgM miễn dịch bán tự động/tự động,197000
1183,1183,Anti-HBe miễn dịch bán tự động/tự động,167200
1184,1184,Anti-HIV (nhanh),93800
1185,1185,Anti-HIV bằng miễn dịch bán tự động/tự động,187000
1186,1186,Anti-HBc IgG miễn dịch bán tự động/tự động,125400
1187,1187,Anti-HBs định lượng,202000
1188,1188,Anti-HBs miễn dịch bán tự động/tự động,125400
1189,1189,Anti-HCV (nhanh),93800
1190,1190,Anti-HCV miễn dịch bán tự động/tự động,209000
1191,1191,ASLO,72400
1192,1192,Aspergillus miễn dịch bán tự động/tự động,187000
1193,1193,BK/JC virus Real-time PCR,792000
1194,1194,Chlamydia IgG miễn dịch bán tự động/tự động,312000
1195,1195,Chlamydia test nhanh,125400
1196,1196,Clostridium difficile miễn dịch tự động,1343000
1197,1197,CMV Avidity,438000
1198,1198,CMV đo tải lượng hệ thống tự động,2912000
1199,1199,CMV IgG miễn dịch bán tự động/tự động,197000
1200,1200,CMV IgM miễn dịch bán tự động/tự động,229000
1201,1201,CMV Real-time PCR,1219000
1202,1202,Cryptococcus test nhanh,197000
1203,1203,Dengue IgG miễn dịch bán tự động/tự động,270000
1204,1204,Dengue IgM miễn dịch bán tự động/tự động,270000
1205,1205,Dengue NS1Ag/IgM-IgG test nhanh,229000
1206,1206,EBV EA-D IgG miễn dịch bán tự động/tự động,355000
1207,1207,EBV EB-NA1 IgG miễn dịch bán tự động/tự động,378000
1208,1208,EBV-VCA IgG miễn dịch bán tự động/tự động,325000
1209,1209,EBV-VCA IgM miễn dịch bán tự động/tự động,335000
1210,1210,EV71 IgM/IgG test nhanh,201000
1211,1211,Giun chỉ ấu trùng trong máu nhuộm soi,62200
1212,1212,HBeAb test nhanh,104000
1213,1213,HBeAg miễn dịch bán tự động/tự động,167200
1214,1214,HBeAg test nhanh,104000
1215,1215,HBsAg (nhanh),93800
1216,1216,HBsAg Định lượng,795000
1217,1217,HBsAg khẳng định,1033000
1218,1218,HBsAg miễn dịch bán tự động/ tự động,130600
1219,1219,HBV đo tải lượng hệ thống tự động,2119000
1220,1220,HBV đo tải lượng Real-time PCR,1110000
1221,1221,HCV Core Ag miễn dịch tự động,925000
1222,1222,HCV đo tải lượng hệ thống tự động,2135000
1223,1223,HCV đo tải lượng Real-time PCR,1358000
1224,1224,HDV Ag miễn dịch bán tự động,703000
1225,1225,HDV IgG miễn dịch bán tự động/ tự động,378000
1226,1226,HDV IgM miễn dịch bán tự động/ tự động,545000
1227,1227,Helicobacter pylori Ag test nhanh,274000
1228,1228,HEV IgG miễn dịch bán tự động/tự động,534000
1229,1229,HEV IgM miễn dịch bán tự động/tự động,534000
1230,1230,HIV Ag/Ab test nhanh,171800
1231,1231,HIV Ag/Ab miễn dịch bán tự động/ tự động,229000
1232,1232,HIV đo tải lượng hệ thống tự động,1541000
1233,1233,HIV khẳng định,332000
1234,1234,Hồng cầu trong phân test nhanh,114200
1235,1235,"Hồng cầu, bạch cầu trong phân soi trực tiếp",66300
1236,1236,HPV genotype  PCR hệ thống tự động,1731000
1237,1237,HPV Real-time PCR,653000
1238,1238,HSV1+2 IgG miễn dịch bán tự động/ tự động,270000
1239,1239,HSV1+2 IgM miễn dịch bán tự động/ tự động,270000
1240,1240,"Influenza virus A, B Real-time PCR",2508000
1241,1241,"Influenza virus A, B test nhanh",297000
1242,1242,JEV IgM (test nhanh),217000
1243,1243,JEV IgM miễn dịch bán tự động/tự động,736000
1244,1244,Ký sinh trùng/ Vi nấm soi tươi,72400
1245,1245,Leptospira test nhanh,244000
1246,1246,Measles virus IgG miễn dịch bán tự động/ tự động,431000
1247,1247,Measles virus IgM miễn dịch bán tự động/ tự động,431000
1248,1248,Mycobacterium tuberculosis  kháng thuốc hàng 1 môi trường lỏng,1219000
1249,1249,Mycobacterium tuberculosis  kháng thuốc hàng 2 môi trường đặc,419000
1250,1250,Mycobacterium tuberculosis  kháng thuốc PZA môi trường lỏng,588000
1251,1251,Mycobacterium tuberculosis đa kháng LPA,1459000
1252,1252,Mycobacterium tuberculosis định danh và kháng RMP Xpert,1172000
1253,1253,Mycobacterium tuberculosis kháng thuốc hàng 1 môi trường đặc,325000
1254,1254,Mycobacterium tuberculosis nuôi cấy môi trường đặc,300000
1255,1255,Mycobacterium tuberculosis nuôi cấy môi trường lỏng,480000
1256,1256,Mycobacterium tuberculosis PCR hệ thống tự động,1343000
1257,1257,Mycobacterium tuberculosis Real-time PCR,629000
1258,1258,Mycobacterium tuberculosis siêu kháng LPA,2430000
1259,1259,Mycoplasma pneumoniae IgG miễn dịch bán tự động,438000
1260,1260,Mycoplasma pneumoniae IgM miễn dịch bán tự động,293000
1261,1261,NTM định danh LPA,1498000
1262,1262,Nuôi cấy tìm vi khuẩn kỵ khí/vi hiếu khí,2119000
1263,1263,Phản ứng Mantoux,20400
1264,1264,Plasmodium (ký sinh trùng sốt rét) trong máu nhuộm soi,56100
1265,1265,Pneumocystis miễn dịch bán tự động/ tự động,629000
1266,1266,Rickettsia Ab,209000
1267,1267,Rotavirus Ag test nhanh,312000
1268,1268,RSV (Respiratory Syncytial Virus) miễn dịch bán tự động/ tự động,251000
1269,1269,Rubella IgG miễn dịch bán tự động/ tự động,209000
1270,1270,Rubella IgM miễn dịch bán tự động/ tự động,251000
1271,1271,Rubella virus Ab test nhanh,263000
1272,1272,Rubella virus Avidity,511000
1273,1273,Salmonella Widal,312000
1274,1274,Toxoplasma Avidity,431000
1275,1275,Toxoplasma IgG miễn dịch bán tự động/ tự động,209000
1276,1276,Toxoplasma IgM miễn dịch bán tự động/ tự động,209000
1277,1277,Treponema pallidum RPR định lượng,152900
1278,1278,Treponema pallidum RPR định tính,66300
1279,1279,Treponema pallidum TPHA định lượng,312000
1280,1280,Treponema pallidum TPHA định tính,93800
1281,1281,"Trứng giun sán, đơn bào phương pháp trực tiếp",251000
1282,1282,Vi hệ đường ruột,52000
1283,1283,Vi khuẩn khẳng định,802000
1284,1284,Vi khuẩn nhuộm soi,119300
1285,1285,Vi khuẩn nuôi cấy định danh phương pháp thông thường,419000
1286,1286,Vi khuẩn nuôi cấy và định danh hệ thống tự động,522000
1287,1287,"Vi khuẩn/ virus/ vi nấm/ ký sinh trùng (IgG, IgM) miễn dịch bán tự động/miễn dịch tự động",511000
1288,1288,Vi khuẩn/ virus/ vi nấm/ ký sinh trùng genotype Real-time PCR (cho 1 vi sinh vật),2508000
1289,1289,Vi khuẩn/ virus/ vi nấm/ ký sinh trùng Real-time PCR,1219000
1290,1290,Vi khuẩn/ virus/ vi nấm/ ký sinh trùng test nhanh,419000
1291,1291,Vi khuẩn/ virus/ vi nấm/ ký sinh trùng xác định trình tự một đoạn gene,4157000
1292,1292,Vi khuẩn/vi nấm kháng thuốc định lượng (MIC - cho 1 loại kháng sinh),325000
1293,1293,Vi khuẩn/ vi nấm kháng thuốc định tính hoặc vi khuẩn/ vi nấm kháng thuốc trên máy tự động,342000
1294,1294,Vi nấm nuôi cấy và định danh  phương pháp thông thường,419000
1295,1295,"Xác định dịch cúm, á cúm 2 bằng miễn dịch bán tự động/tự động",795000
1296,1296,HBV kháng thuốc  Real-time PCR (cho một loại thuốc),1808000
1297,1297,Xét nghiệm cặn dư phân,93800
1298,1298,Chẩn đoán mô bệnh học bệnh phẩm phẫu thuật,309000
1299,1299,"Chọc, hút tuyến tiền liệt, nhuộm và chẩn đoán",619000
1300,1300,"Chọc, hút, nhuộm và chẩn đoán mào tinh hoàn/tinh hoàn trong điều trị vô sinh",1074000
1301,1301,"Chọc, hút, nhuộm và chẩn đoán u nang buồng trứng",846000
1302,1302,"Chọc, hút, nhuộm, chẩn đoán các u nang (1 u)",309000
1303,1303,"Chọc, hút, xét nghiệm tế bào các u/ tổn thương sâu",464000
1304,1304,Sinh thiết và làm tiêu bản tổ chức xương,309000
1305,1305,"Xét nghiệm các loại dịch, nhuộm và chẩn đoán tế bào học",324000
1306,1306,Xét nghiệm chẩn đoán tế bào học bong bằng phương pháp nhuộm Papanicolaou,712000
1307,1307,Xét nghiệm cyto (tế bào),216000
1308,1308,Xét nghiệm đột biến gen BRAF,7662000
1309,1309,Xét nghiệm đột biến gen EGFR,8902000
1310,1310,Xét nghiệm đột biến gen KRAS,8592000
1311,1311,Xét nghiệm FISH,9212000
1312,1312,Xét nghiệm lai tại chỗ bạc hai màu (Dual-SISH),7817000
1313,1313,Xét nghiệm lai tại chỗ gắn màu (CISH),8902000
1314,1314,Cell Bloc (khối tế bào),453000
1315,1315,Thin-PAS,956000
1316,1316,Xét nghiệm và chẩn đoán hoá mô miễn dịch cho một dấu ấn (Marker) chưa bao gồm kháng thể 2 và hóa chất bộc lộ kháng nguyên,856000
1317,1317,Xét nghiệm và chẩn đoán miễn dịch huỳnh quang cho bộ 6 kháng thể để chẩn đoán mô bệnh học,2270000
1318,1318,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Đỏ Công gô,597000
1319,1319,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Giem sa,566000
1320,1320,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Gomori,736000
1321,1321,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Hemtoxylin Eosin,659000
1322,1322,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Mucicarmin,829000
1323,1323,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm PAS (Periodic Acide - Siff),783000
1324,1324,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Sudan III,813000
1325,1325,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Van Gie'son,767000
1326,1326,Xét nghiệm và chẩn đoán mô bệnh học bằng phương pháp nhuộm Xanh Alcial,876000
1327,1327,Xét nghiệm và chẩn đoán mô bệnh học tức thì bằng phương pháp cắt lạnh,1076000
1328,1328,Xét nghiệm và chẩn đoán tế bào học qua chọc hút tế bào bằng kim nhỏ (FNA),526000
1329,1329,XÉT NGHIỆM GIẢI PHẪU BỆNH LÝ: Thủ thuật loại I,786000
1330,1330,XÉT NGHIỆM GIẢI PHẪU BỆNH LÝ: Thủ thuật loại II,430000
1331,1331,XÉT NGHIỆM GIẢI PHẪU BỆNH LÝ: Thủ thuật loại III,216000
1332,1332,Định lượng cấp NH3 trong máu,526000
1333,1333,Định tính porphyrin trong nước tiểu chẩn đoán tiêu cơ vân,107800
1334,1334,Định tính thuốc gây ngộ độc (1 chỉ tiêu),232000
1335,1335,Định tính thuốc trừ sâu (1 chỉ tiêu),232000
1336,1336,Đo áp lực thẩm thấu dịch sinh học trên 01 chỉ tiêu,190900
1337,1337,Xét nghiệm  định tính một chỉ tiêu ma tuý trong nước tiểu bằng máy Express pluss,402000
1338,1338,Xét nghiệm  sàng lọc và định tính 5 loại ma tuý,1393000
1339,1339,Xét nghiệm  xác định thành phần hoá chất bảo vệ thực vật bằng sắc ký khí khối phổ,2252000
1340,1340,Xét nghiệm định lượng một chỉ tiêu kim loại nặng trong máu bằng máy AAS,743000
1341,1341,Xét nghiệm định lượng một chỉ tiêu thuốc trong máu bằng máy sắc ký lỏng khối phổ,2289000
1342,1342,Xét nghiệm định tính một chỉ tiêu độc chất bằng phương pháp sắc ký lớp mỏng,288000
1343,1343,Xét nghiệm định tính PBG trong nước tiểu,148200
1344,1344,Xử lý mẫu xét nghiệm độc chất,402000
1345,1345,Điện cơ (EMG),235000
1346,1346,Điện não đồ,160000
1347,1347,Điện tâm đồ,91600
1348,1348,Điện tâm đồ gắng sức,511000
1349,1349,Đo chức năng hô hấp,293000
1350,1350,Holter điện tâm đồ/ huyết áp,402000
1351,1351,Thăm dò chức năng: Thủ thuật loại đặc biệt,1749000
1352,1352,Thăm dò chức năng: Thủ thuật loại I,653000
1353,1353,Thăm dò chức năng: Thủ thuật loại II,429000
1354,1354,Thăm dò chức năng: Thủ thuật loại III,214900
1355,1355,Theo dõi tim thai và cơn co tử cung bằng monitoring,138000
1356,1356,Gây mê trong phẫu thuật mắt,1144000
1357,1357,Siêu âm Doppler màu tim 4 D (3D REAL TIME),763000
1358,1358,Siêu âm Doppler màu tim hoặc mạch máu qua thực quản,1267000
1359,1359,Siêu âm trong lòng mạch hoặc Đo dự trữ lưu lượng động mạch vành FFR,3140000
1360,1360,Chụp niệu quản - bể thận ngược dòng (UPR) số hóa,873000
1361,1361,Chụp thực quản có uống thuốc cản quang số hóa,465000
1362,1362,Chụp dạ dày-tá tràng có uống thuốc cản quang số hóa,465000
1363,1363,Chụp khung đại tràng có thuốc cản quang số hóa,523000
1364,1364,Chụp tủy sống có thuốc cản quang số hóa,896000
1365,1365,Chụp X-quang số hóa cắt lớp tuyến vú 1 bên (tomosynthesis),1110000
1366,1366,"Chụp X-quang số hóa đường dò, các tuyến có bơm thuốc cản quang trực tiếp",700000
1367,1367,Chụp mạch máu số hóa xóa nền (DSA),8957000
1368,1368,Chụp động mạch vành hoặc thông tim chụp buồng tim dưới DSA,9627000
1369,1369,"Chụp và can thiệp tim mạch (van tim, tim bẩm sinh, động mạch vành) dưới  DSA",10931000
1370,1370,Chụp và can thiệp mạch chủ bụng hoặc ngực và mạch chi dưới DSA,14190000
1371,1371,Chụp và can thiệp mạch chủ bụng hoặc ngực và mạch chi dưới C-Arm,12379000
1372,1372,"Chụp, nút dị dạng và can thiệp các bệnh lý mạch thần kinh dưới DSA",15059000
1373,1373,Can thiệp đường  mạch máu cho các tạng dưới DSA,14262000
1374,1374,"Can thiệp vào lòng mạch trực tiếp qua da (đặt cổng truyền hóa chất, đốt giãn tĩnh mạch, sinh thiết trong lòng mạch) hoặc mở thông dạ dày qua da, dẫn lưu các ổ áp xe và tạng ổ bụng dưới DSA.",4105000
1375,1375,Can thiệp khác dưới hướng dẫn của CT Scanner,1932000
1376,1376,"Dẫn lưu, nong đặt Stent, lấy dị vật đường mật hoặc đặt sonde JJ qua da  dưới DSA",6296000
1377,1377,Đốt sóng cao tần hoặc vi sóng  điều trị u gan dưới hướng dẫn của CT scanner,3009000
1378,1378,Đốt sóng cao tần hoặc vi sóng  điều trị u gan dưới hướng dẫn của siêu âm,2284000
1379,1379,"Điều trị các tổn thương xương, khớp, cột sống và các tạng dưới DSA (đổ xi măng cột sống, điều trị các khối u tạng và giả u xương...)",5572000
1380,1380,Chụp cộng hưởng từ gan với chất tương phản đặc hiệu mô,11359000
1381,1381,Chụp cộng hưởng từ tưới máu - phổ - chức năng,4117000
1382,1382,Bơm rửa khoang màng phổi,318000
1383,1383,Bơm rửa niệu quản sau tán sỏi (ngoài cơ thể),793000
1384,1384,Chăm sóc da cho người bệnh dị ứng thuốc nặng,307000
1385,1385,Chọc dò màng bụng hoặc màng phổi,256000
1386,1386,Chọc tháo dịch màng bụng hoặc màng phổi dưới hướng dẫn của siêu âm,323000
1387,1387,Chọc hút khí màng phổi,275000
1388,1388,Chọc rửa màng phổi,374000
1389,1389,Chọc dò màng tim,474000
1390,1390,Chọc dò tuỷ sống,223000
1391,1391,"Đặt catheter hai nòng có cuff, tạo đường hầm để lọc máu",8749000
1392,1392,Đặt sonde JJ niệu quản,1445000
1393,1393,Điều trị suy tĩnh mạch bằng Laser nội mạch,3395000
1394,1394,Gây dính màng phổi bằng thuốc hoặc hóa chất qua ống dẫn lưu màng phổi,398000
1395,1395,Mở khí quản,1182000
1396,1396,Mở thông bàng quang (gây tê tại chỗ),654000
1397,1397,"Nội soi màng phổi, gây dính bằng thuốc hoặc hóa chất",7506000
1398,1398,Rút máu để điều trị,304000
1399,1399,"Rút ống dẫn lưu màng phổi, ống dẫn lưu ổ áp xe",315000
1400,1400,Sinh thiết  tuyến vú dưới hướng dẫn của Xquang có hệ thống định vị stereostatic,2431000
1401,1401,"Soi bàng quang, chụp thận ngược dòng",1109000
1402,1402,Thận nhân tạo chu kỳ,919000
1403,1403,Tiêm khớp,177000
1404,1404,Tiêm khớp dưới hướng dẫn của siêu âm,248000
1405,1405,Vật lý trị liệu phòng ngừa các biến chứng do bất động,53400
1406,1406,Phẫu thuật áp xe não,12804000
1407,1407,Phẫu thuật dẫn lưu não thất - màng bụng,7207000
1408,1408,Phẫu thuật vết thương sọ não hở,9841000
1409,1409,Phẫu thuật chuyển gân điều trị cò ngón tay do liệt vận động,5624000
1410,1410,Phẫu thuật chỉnh bàn chân khèo,6139000
1411,1411,Phẫu thuật chuyển gân điều trị bàn chân rủ do liệt vận động,5624000
1412,1412,Phẫu thuật đóng cứng khớp cổ chân,3645000
1413,1413,Phẫu thuật tạo hình khớp háng,5944000
1414,1414,Phẫu thuật thay khớp gối bán phần,7931000
1415,1415,Phẫu thuật đặt lại khớp găm kim cố định,6963000
1416,1416,Phẫu thuật vết thương phần mềm hoặc rách da đầu,4357000
1417,1417,Phẫu thuật vết thương phần mềm phức tạp,8750000
1418,1418,Phẫu thuật vi phẫu nối mạch chi,13233000
1419,1419,Điều trị tổn thương cổ tử cung bằng: đốt điện hoặc nhiệt hoặc laser,344000
1420,1420,"Điều trị viêm dính tiểu khung bằng hồng ngoại, sóng ngắn",344000
1421,1421,Nội xoay thai,2267000
1422,1422,Nong buồng tử cung đặt dụng cụ chống dính,1004000
1423,1423,Nong đặt dụng cụ tử cung chống dính buồng tử cung,369000
1424,1424,Phẫu thuật chấn thương tầng sinh môn,6889000
1425,1425,Phẫu thuật lấy thai trên người bệnh mắc bệnh toàn thân hoặc bệnh lý sản khoa,7753000
1426,1426,Phẫu thuật lấy thai và cắt tử cung trong rau cài răng lược,11431000
1427,1427,Phẫu thuật mở bụng cắt tử cung hoàn toàn và vét hạch chậu,11370000
1428,1428,Phẫu thuật nội soi cắt tử cung hoàn toàn và vét hạch chậu,13956000
1429,1429,Phẫu thuật nội soi ổ bụng chẩn đoán các bệnh lý phụ khoa,7616000
1430,1430,Phẫu thuật nội soi vét hạch tiểu khung,10975000
1431,1431,"Phẫu thuật nội soi xử trí viêm phúc mạc tiểu khung, viêm phần phụ, ứ mủ vòi trứng",11993000
1432,1432,Phẫu thuật tạo hình âm đạo (nội soi kết hợp đường dưới),8533000
1433,1433,Phẫu thuật treo bàng quang và trực tràng sau mổ sa sinh dục,7484000
1434,1434,Phẫu thuật treo tử cung,5098000
1435,1435,Tiêm nhân Chorio,335000
1436,1436,Cắt bỏ túi lệ,1533000
1437,1437,Cắt dịch kính đơn thuần hoặc lấy dị vật nội nhãn,2094000
1438,1438,Cắt u bì kết giác mạc có hoặc không ghép kết mạc,2016000
1439,1439,Chích mủ hốc mắt,860000
1440,1440,Đo độ lác; Xác định sơ đồ song thị; Đo biên độ điều tiết; Đo thị giác 2 mắt; Đo thị giác tương phản,138000
1441,1441,Đo đường kính giác mạc; đo độ lồi,125000
1442,1442,"Đo thị trường, ám điểm",49600
1443,1443,Đốt lông xiêu,89400
1444,1444,Gọt giác mạc,1431000
1445,1445,Khâu củng giác mạc phức tạp,2094000
1446,1446,Khâu củng mạc phức tạp,2073000
1447,1447,"Khâu da mi, kết mạc mi bị rách - gây mê",2628000
1448,1448,Khâu giác mạc đơn thuần,1231000
1449,1449,Khâu giác mạc phức tạp,2073000
1450,1450,Khoét bỏ nhãn cầu,1388000
1451,1451,"Lấy dị vật giác mạc nông, một mắt (gây mê)",1183000
1452,1452,"Lấy dị vật giác mạc sâu, một mắt (gây mê)",1545000
1453,1453,Sửa hàm,475000
1454,1454,Phẫu thuật ghép xương và màng tái tạo mô có hướng dẫn,1953000
1455,1455,Ghép da rời mỗi chiều trên 5cm,5598000
1456,1456,Phẫu thuật cắt dây thần kinh V ngoại biên,5461000
1457,1457,Phẫu thuật cắt đoạn xương hàm dưới do bệnh lý và tái tạo bằng nẹp vít (1 bên),4998000
1458,1458,"Phẫu thuật cắt đoạn xương hàm dưới do bệnh lý và tái tạo bằng xương, sụn tự thân (1 bên) và cố định bằng nẹp vít",7625000
1459,1459,"Phẫu thuật cắt đoạn xương hàm trên do bệnh lý và tái tạo bằng hàm đúc titan, sứ, composite cao cấp",9218000
1460,1460,Phẫu thuật cắt tuyến mang tai bảo tồn dây thần kinh VII có sử dụng máy dò thần kinh,7840000
1461,1461,Phẫu thuật cắt u bạch mạch lớn vùng hàm mặt,5867000
1462,1462,"Phẫu thuật cắt ung thư xương hàm trên, nạo vét hạch",6085000
1463,1463,Phẫu thuật đa chấn thương vùng hàm mặt,8079000
1464,1464,Phẫu thuật điều trị gãy lồi cầu,4864000
1465,1465,"Phẫu thuật điều trị viêm nhiễm toả lan, áp xe vùng hàm mặt",4296000
1466,1466,Phẫu thuật dính khớp thái dương hàm 1 bên và tái tạo bằng khớp đúc titan,7329000
1467,1467,"Phẫu thuật dính khớp thái dương hàm 1 bên và tái tạo bằng sụn, xương tự thân",7329000
1468,1468,Phẫu thuật dính khớp thái dương hàm 2 bên và tái tạo bằng khớp đúc titan,7695000
1469,1469,"Phẫu thuật dính khớp thái dương hàm 2 bên và tái tạo bằng sụn, xương tự thân",7622000
1470,1470,"Phẫu thuật ghép xương ổ răng trên bệnh nhân khe hở môi, vòm miệng",5823000
1471,1471,"Phẫu thuật khâu phục hồi vết thương phần mềm vùng hàm mặt, có tổn thương tuyến, mạch, thần kinh.",6078000
1472,1472,Phẫu thuật khuyết hổng lớn vùng hàm mặt bằng vạt da cơ,7371000
1473,1473,Phẫu thuật khuyết hổng lớn vùng hàm mặt bằng vi phẫu thuật,7364000
1474,1474,Phẫu thuật lấy dị vật vùng hàm mặt,4354000
1475,1475,Phẫu thuật mở xoang lấy răng ngầm,5078000
1476,1476,"Phẫu thuật mở xương, điều trị lệch lạc xương hàm, khớp cắn",8369000
1477,1477,Phẫu thuật tạo hình khe hở chéo mặt,7210000
1478,1478,Phẫu thuật tạo hình khe hở vòm miệng,4998000
1479,1479,Phẫu thuật tạo hình khe hở vòm miệng tạo vạt thành hầu,4998000
1480,1480,Sử dụng nẹp có lồi cầu trong phục hồi sau cắt đoạn xương hàm dưới,4985000
1481,1481,Tiêm xơ điều trị u máu phần mềm và xương vùng hàm mặt,1310000
1482,1482,Đặt buồng tiêm truyền dưới da,2345000
1483,1483,Gây mê khác,1607000
1484,1484,Gây mê trong thủ thuật mắt,270000
1485,1485,Chiếu tia Plasma lạnh điều trị vết thương hoặc vết mổ chiều dài ≤ 15cm,162000
1486,1486,Chiếu tia Plasma lạnh điều trị vết thương hoặc vết mổ chiều dài trên15cm đến 30 cm,313000
1487,1487,Chiếu tia Plasma lạnh điều trị vết thương hoặc vết mổ chiều dài trên 30 cm,713000
1488,1488,Điều trị bệnh da bằng chiếu đèn LED,217000
1489,1489,Bơm tinh trùng vào buồng tử cung (IUI),1016000
1490,1490,Cấy - tháo thuốc tránh thai,233000
1491,1491,Chọc hút noãn,7507000
1492,1492,"Chọc hút tinh hoàn mào tinh hoàn lấy tinh trùng hoặc sinh thiết tinh hoàn, mào tinh hoàn",2828000
1493,1493,Chuyển phôi hoặc chuyển phôi giao tử vào vòi tử cung,4314000
1494,1494,Đặt và tháo dụng cụ tử cung,245000
1495,1495,Điều trị tắc tia sữa bằng máy hút hoặc sóng ngắn hoặc hồng ngoại,108000
1496,1496,Lọc rửa tinh trùng,1040000
1497,1497,"Rã đông phôi, noãn",4020000
1498,1498,Rã đông tinh trùng,220000
1499,1499,Tiêm tinh trùng vào bào tương của noãn (ICSI),6810000
1500,1500,Triệt sản nam (bằng dao hoặc không bằng dao),1275000
1501,1501,Phẫu thuật điều trị tật khúc xạ bằng Laser Excimer (01 mắt),4636000
1502,1502,Rạch giác mạc nan hoa (1 mắt),642000
1503,1503,Rạch giác mạc nan hoa (2 mắt),740000
1504,1504,"Dùng laser, sóng cao tần trong điều trị sẹo >2cm",1795000
1505,1505,Định lượng Acid beta hydroxybutyrate máu,100000
1506,1506,Dịch vụ chuyển viện đúng tuyến,813000
1507,1507,Dịch vụ chuyển viện theo yêu cầu,1347000
1508,1508,Dịch vụ chuyển tuyến kèm theo Bác sĩ,500000
1509,1509,Dịch vụ chuyển tuyến kèm theo Điều dưỡng,300000
1510,1510,Dịch vụ chuyển tuyến kèm theo Bơm tiêm điện,500000
1511,1511,Dịch vụ chuyển tuyến kèm theo Có máy thở,1000000
1512,1512,"Dịch vụ vận chuyển người bệnh về nhà (áp dụng cho các trường hợp nặng xin về, tử vong)",697000
1513,1513,"Dịch vụ vận chuyển người bệnh về nhà (áp dụng cho các trường hợp nặng xin về, tử vong)+Bác sĩ",500000
1514,1514,"Dịch vụ vận chuyển người bệnh về nhà (áp dụng cho các trường hợp nặng xin về, tử vong)+ Điều dưỡng",300000
1515,1515,Một số trường hợp vận chuyển ngoại tỉnh phụ thu thêm (tính lượt đi và về),
1516,1516,Một số trường hợp vận chuyển ngoại tỉnh phụ thu thêm (tính lượt đi và về): Phụ thu Vận chuyển đối với cự ly từ 5- 49km,350000
1517,1517,Một số trường hợp vận chuyển ngoại tỉnh phụ thu thêm (tính lượt đi và về): Phụ thu vận chuyển đối với cự ly từ 50 km - 99 km,700000
1518,1518,Một số trường hợp vận chuyển ngoại tỉnh phụ thu thêm (tính lượt đi và về):Phụ thu vận chuyển đối với cự ly từ 100 - 150 km,1100000
1519,1519,Một số trường hợp vận chuyển ngoại tỉnh phụ thu thêm (tính lượt đi và về):Phụ thu vận chuyển đối với cự ly ≥ 151 km được tính như sau: = 1.100.000 đ + 8.000 đ/mỗi km vượt,
1520,1520,DỊCH VỤ VẬN CHUYỂN NỘI THỊ,527000
